City,Country,Population (2025),Province ID,Victory Points
Mandurah,Australia,85037.86382,,
Dunedin,New Zealand,84080.12969,,
Rockingham,Australia,89000.57491,,
Christchurch,New Zealand,278356.3117,,
Perth,Australia,1357381.728,,
Wellington,New Zealand,154120.3008,,
Butler,Australia,106620.6769,,
Lower Hutt,New Zealand,70637.03516,,
Hobart,Australia,69906.07557,,
Palmerston North,New Zealand,75159.12366,,
Huntfield Heights,Australia,103947.9228,,
Napier,New Zealand,54957.13922,,
Adelaide,Australia,938328.4515,,
Hamilton,New Zealand,176223.1159,,
Elizabeth North,Australia,59117.73802,,
Auckland,New Zealand,1623897.767,,
Geelong,Australia,165824.5736,,
Tauranga,New Zealand,122546.4076,,
Ballarat,Australia,67879.96728,,
Point Cook,Australia,501407.641,,
Langwarrin,Australia,122179.4094,,
Melton,Australia,88673.35304,,
Melbourne,Australia,4010658.252,,
Pakenham,Australia,67998.43518,,
North Canberra [Canberra],Australia,55457.69694,,
Wollongong,Australia,149057.1476,,
Mount Annan,Australia,57356.26283,,
Campbelltown,Australia,104043.8411,,
Penrith,Australia,93483.56208,,
Sydney,Australia,4375394.497,,
Newcastle,Australia,205366.156,,
Toowoomba,Australia,92940.7309,,
Thuringowa Central,Australia,107618.9172,,
Ipswich,Australia,55989.72469,,
Cairns,Australia,57591.28545,,
Brisbane,Australia,1359104.504,,
Gold Coast,Australia,279191.0015,,
Helensvale,Australia,65844.92827,,
Upper Coomera,Australia,67293.17263,,
North Lakes,Australia,179797.4181,,
Cleveland,Australia,70540.89069,,
Redcliffe,Australia,53687.04747,,
Caloundra,Australia,60065.42507,,
Sunshine Coast,Australia,96778.28991,,
