City,Country,Population (2025)
Kashgar,China,498252.3938
Erdenet,Mongolia,97742.69941
Kyauktaw,Myanmar,70158.66716
Banda Aceh,Indonesia,361009.8213
Chiang Mai,Thailand,692241.9926
Luang Prabang,Laos,64254.19015
Điện Biên Phủ,Vietnam,58921.92219
George Town,Malaysia,756640.6066
Sampov Lun,Cambodia,79073.75538
Singapore,Singapore,5117758.838
Sinuiju,North Korea,308839.8878
Daegot,South Korea,69843.57203
Dazhuang,Taiwan,244948.877
Bandar Seri Begawan,Brunei,77223.5136
Otaru,Japan,94127.76344
Laoag,Philippines,105064.4204
Dili,Timor-Leste,381794.1787
Artush,China,120960.6131
Ulaanbaatar,Mongolia,1634096.557
Kalay,Myanmar,185720.5413
Sigli,Indonesia,69196.8551
Lamphun,Thailand,80879.0977
Lào Cai,Vietnam,75157.5087
Vientiane,Laos,166270.5857
Alor Setar,Malaysia,248043.1278
Khum Pech Chenda,Cambodia,57967.44734
Sembawang,Singapore,960307.9249
락원1동,North Korea,101106.3152
Seoul,South Korea,22261691.61
Zhanghua City,Taiwan,437759.5352
Lambak,Brunei,69096.58322
Sapporo,Japan,1931423.54
Vigan,Philippines,106313.5274
Yengisar,China,55958.45122
Sittwe,Myanmar,97568.24744
Meulaboh,Indonesia,54167.24106
Chiang Rai,Thailand,121858.4241
Sơn La,Vietnam,61983.21883
Bukit Mertajam,Malaysia,497722.4993
Poipet,Cambodia,151630.9755
Pakse,Laos,98333.56369
Ryongampho-rodongjagu,North Korea,72747.59738
Paju,South Korea,71609.01092
Hsinchu,Taiwan,713496.8363
Karatsu,Japan,64684.71856
San Fernando,Philippines,124412.0823
Tacheng,China,105710.4656
Mrauk U,Myanmar,75863.88942
Lampang,Thailand,186293.6132
Bireuen,Indonesia,126314.0849
Sungai Petani,Malaysia,299735.6292
Phù Yên,Vietnam,53084.42451
Phsar Prom,Cambodia,73345.10549
Ryongchon,North Korea,125350.194
Gimpo,South Korea,181337.436
Toufen,Taiwan,159777.0268
Sasebo,Japan,137771.8533
Dagupan [Lingayen],Philippines,973315.6161
香班哈日根牧场,China,90586.26665
Minbya,Myanmar,77260.81728
Takengon,Indonesia,75325.11431
Kamphaeng Phet,Thailand,75599.09591
Simpang Ampat,Malaysia,54420.4424
Yên Bái,Vietnam,80525.08895
Pailin,Cambodia,51100.16794
Sakju,North Korea,61743.82548
Dongducheon,South Korea,173107.4896
Miaoli,Taiwan,75402.56371
Asahikawa,Japan,288867.3205
Agoo,Philippines,69438.70557
Yining/Qulja,China,428152.2279
Kyaukpyu,Myanmar,97538.82642
Lhokseumawe,Indonesia,68632.80115
Phrae,Thailand,52750.32762
Parit Buntar,Malaysia,52329.68847
Làng Giao,Vietnam,83224.46374
Battambang,Cambodia,129058.1775
옥정신도시,South Korea,51981.03214
Taichung,Taiwan,2318377.157
Fukuoka,Japan,2213305.216
San Carlos,Philippines,69497.33157
Emin/Dörbiljin,China,71929.34083
Hpakant,Myanmar,258318.0635
Uttaradit,Thailand,105376.9767
Gunungsitoli,Indonesia,72423.76523
Kulim,Malaysia,204981.3712
Việt Trì,Vietnam,105305.2988
Anlong Veng,Cambodia,322702.24
Tongrim,North Korea,112040.295
Hwado,South Korea,163088.0682
Yuanlin City,Taiwan,286803.6363
Kitakyushu,Japan,1208934.612
Baguio,Philippines,599130.3407
Yarkand,China,165031.4227
Monywa,Myanmar,248190.6749
Phitsanulok,Thailand,187729.0369
Langsa,Indonesia,132656.0761
Taiping,Malaysia,211512.2714
Trung Hà,Vietnam,58506.55776
Siem Reap,Cambodia,315248.1625
Manpo,North Korea,80985.71524
Bongdam,South Korea,75417.32379
Taipei,Taiwan,9686521.352
Omura,Japan,67616.2621
Bayambang,Philippines,87334.41371
Anarkol,China,65475.0685
Mohnyin,Myanmar,104514.3101
Kanchanaburi,Thailand,66056.75363
Teluk Dalam,Indonesia,56870.42792
Sitiawan,Malaysia,89534.56367
Tam Hồng,Vietnam,155999.3969
Phumi Roessei,Cambodia,174455.2704
Taeryonggang,North Korea,58690.79909
Chuncheon,South Korea,229165.1681
Zhudong,Taiwan,51506.32929
Nagasaki,Japan,297630.7671
Urdaneta,Philippines,109963.229
Kargilik,China,134156.5142
Nyaung-U,Myanmar,50521.86037
Ranong,Thailand,139735.9068
