Name,Native,Status,12/01/1989,09/10/2002,14/10/2010,01/10/2021,Oblast
Abadzechskaja [Abadzekhskaya],Абадзехская,Stanitsa,Majkopskij Rajon,"4,008","3,623","3,521",adygeja
Adygejsk [Adygeysk],Адыгейск,City,Adygejsk,"12,209","12,237","13,175",adygeja
Blečepsin [Blechepsin],Блечепсин,Aul,Košechabl'skij Rajon,"3,029","3,148","3,165",adygeja
Chakurinochabl' [Khakurinokhabl],Хакуринохабль,Aul,Šovgenovskij Rajon,"3,828","4,038","3,865",adygeja
Chanskaja [Khanskaya],Ханская,Stanitsa,Majkop,"11,290","11,245","11,319",adygeja
Chatukaj [Khatukay],Хатукай,Aul,Krasnogvardejskij Rajon,"4,535","4,911","5,144",adygeja
Dondukovskaja [Dondukovskaya],Дондуковская,Stanitsa,Giaginskij Rajon,"6,605","6,603","6,463",adygeja
Ènem [Enem],Энем,Urban Settlement,Tachtamukajskij Rajon,"17,654","17,890","27,717",adygeja
Gaverdovskij [Gaverdovsky],Гавердовский,Khutor,Majkop,"2,905","3,625","4,732",adygeja
Giaginskaja [Giaginskaya],Гиагинская,Stanitsa,Giaginskij Rajon,"15,160","14,121","14,445",adygeja
Jablonovskij [Yablonovsky],Яблоновский,Urban Settlement,Tachtamukajskij Rajon,"25,063","26,171","54,291",adygeja
Kamennomostskij [Kamennomostsky],Каменномостский,Rural Settlement,Majkopskij Rajon,"7,580","7,213","7,057",adygeja
Kelermesskaja [Kelermesskaya],Келермесская,Stanitsa,Giaginskij Rajon,"2,726","2,749","3,121",adygeja
Košechabl' [Koshekhabl],Кошехабль,Aul,Košechabl'skij Rajon,"7,309","7,239","7,308",adygeja
Krasnogvardejskoje [Krasnogvardeyskoye],Красногвардейское,Village,Krasnogvardejskij Rajon,"9,065","9,459","9,516",adygeja
Krasnooktjabr'skij [Krasnooktyabrsky],Краснооктябрьский,Rural Settlement,Majkopskij Rajon,"5,488","5,875","6,000",adygeja
Kužorskaja [Kuzhorskaya],Кужорская,Stanitsa,Majkopskij Rajon,"3,554","3,531","3,525",adygeja
Majkop [Maykop],Майкоп,City,Majkop,"156,931","144,249","143,385",adygeja
Natyrbovo,Натырбово,Village,Košechabl'skij Rajon,"3,375","3,027","3,203",adygeja
Novaja Adygeja [Novaya Adygeya],Новая Адыгея,Rural Settlement,Tachtamukajskij Rajon,764,"2,051","13,058",adygeja
Ponežukaj [Ponezhukay],Понежукай,Aul,Teučežskij Rajon,"3,388","3,456","3,372",adygeja
Severo-Vostočnyje Sady [Severo-Vostochnye Sady],Северо-Восточные Сады,Khutor,Majkopskij Rajon,"3,325","3,393","3,404",adygeja
Tachtamukaj [Takhtamukay],Тахтамукай,Aul,Tachtamukajskij Rajon,"5,117","5,214","6,075",adygeja
Tljustenchabl' [Tlyustenkhabl],Тлюстенхабль,Urban Settlement,Teučežskij Rajon,"4,961","5,403","7,130",adygeja
Tul'skij [Tulsky],Тульский,Rural Settlement,Majkopskij Rajon,"10,502","10,732","11,114",adygeja
Vol'noje [Volnoye],Вольное,Village,Košechabl'skij Rajon,"3,668","3,679","3,689",adygeja
Zapadnyj [Zapadny],Западный,Rural Settlement,Majkop,450,"3,163","3,916",adygeja
Čemal [Chemal],Чемал,Village,Čemal'skij Rajon,"3,266","3,602","4,260",altaj
Gorno-Altajsk [Gorno-Altaysk],Горно-Алтайск,City,Gorno-Altajsk,"53,538","56,933","65,342",altaj
Koš-Agač [Kosh-Agach],Кош-Агач,Village,Koš-Agačskij Rajon,"5,701","7,900","8,334",altaj
Kyzyl-Ozëk [Kyzyl-Ozyok],Кызыл-Озёк,Village,Majminskij Rajon,"3,199","4,052","4,513",altaj
