Name,country,population,Oblast,date
Abadzechskaja [Abadzekhskaya],russia,3623,adygeja,2010-10-04
Adygejsk [Adygeysk],russia,12237,adygeja,2010-10-04
Blečepsin [Blechepsin],russia,3148,adygeja,2010-10-04
Chakurinochabl' [Khakurinokhabl],russia,4038,adygeja,2010-10-04
Chanskaja [Khanskaya],russia,11245,adygeja,2010-10-04
Chatukaj [Khatukay],russia,4911,adygeja,2010-10-04
Dondukovskaja [Dondukovskaya],russia,6603,adygeja,2010-10-04
Ènem [Enem],russia,17890,adygeja,2010-10-04
Gaverdovskij [Gaverdovsky],russia,3625,adygeja,2010-10-04
Giaginskaja [Giaginskaya],russia,14121,adygeja,2010-10-04
Jablonovskij [Yablonovsky],russia,26171,adygeja,2010-10-04
Kamennomostskij [Kamennomostsky],russia,7213,adygeja,2010-10-04
Kelermesskaja [Kelermesskaya],russia,2749,adygeja,2010-10-04
Košechabl' [Koshekhabl],russia,7239,adygeja,2010-10-04
Krasnogvardejskoje [Krasnogvardeyskoye],russia,9459,adygeja,2010-10-04
Krasnooktjabr'skij [Krasnooktyabrsky],russia,5875,adygeja,2010-10-04
Kužorskaja [Kuzhorskaya],russia,3531,adygeja,2010-10-04
Majkop [Maykop],russia,144249,adygeja,2010-10-04
Natyrbovo,russia,3027,adygeja,2010-10-04
Novaja Adygeja [Novaya Adygeya],russia,2051,adygeja,2010-10-04
Ponežukaj [Ponezhukay],russia,3456,adygeja,2010-10-04
Severo-Vostočnyje Sady [Severo-Vostochnye Sady],russia,3393,adygeja,2010-10-04
Tachtamukaj [Takhtamukay],russia,5214,adygeja,2010-10-04
Tljustenchabl' [Tlyustenkhabl],russia,5403,adygeja,2010-10-04
Tul'skij [Tulsky],russia,10732,adygeja,2010-10-04
Vol'noje [Volnoye],russia,3679,adygeja,2010-10-04
Zapadnyj [Zapadny],russia,3163,adygeja,2010-10-04
Čemal [Chemal],russia,3602,altaj,2010-10-04
Gorno-Altajsk [Gorno-Altaysk],russia,56933,altaj,2010-10-04
Koš-Agač [Kosh-Agach],russia,7900,altaj,2010-10-04
Kyzyl-Ozëk [Kyzyl-Ozyok],russia,4052,altaj,2010-10-04
Majma [Mayma],russia,16174,altaj,2010-10-04
Ongudaj [Onguday],russia,5655,altaj,2010-10-04
Šebalino [Shebalino],russia,4924,altaj,2010-10-04
Turočak [Turochak],russia,5582,altaj,2010-10-04
Ulagan,russia,3222,altaj,2010-10-04
Ust'-Kan [Ust-Kan],russia,4123,altaj,2010-10-04
Ust'-Koksa [Ust-Koksa],russia,4373,altaj,2010-10-04
Alejsk [Aleysk],russia,29510,altajkrai,2010-10-04
Altajskoje [Altayskoye],russia,13713,altajkrai,2010-10-04
Bajevo [Bayevo],russia,4707,altajkrai,2010-10-04
Barnaul,russia,612401,altajkrai,2010-10-04
