Name,Status,State,36617,40269,43922
Abbeville,Urban Area,Louisiana,17348,19824,18078
Abbeville,Urban Area,South Carolina,6043,5243,4940
Aberdeen,Urban Area,South Dakota,24872,25977,27982
Aberdeen,Urban Area,Washington,,,26603
Abilene,Urban Area,Kansas,6699,7054,6605
Abilene,Urban Area,Texas,107041,110421,118138
Ada,Urban Area,Ohio,5661,5945,5343
Ada,Urban Area,Oklahoma,16463,17400,17264
Adairsville,Urban Area,Georgia,,,5799
Adel,Urban Area,Georgia,6521,6986,7034
Adel,Urban Area,Iowa,2928,3170,5674
Adrian,Urban Area,Michigan,,,29206
Ahoskie,Urban Area,North Carolina,4407,4951,4861
Akron,Urban Area,Ohio,577617,569499,541879
Alamogordo,Urban Area,New Mexico,37817,31862,30801
Alamosa,Urban Area,Colorado,9238,9751,10965
Albany,Urban Area,Georgia,,,85960
Albany,Urban Area,Oregon,44791,56997,62074
Albany - Schenectady,Urban Area,New York,568791,594962,593142
Albemarle,Urban Area,North Carolina,16375,16823,16988
Albert Lea,Urban Area,Minnesota,18162,17868,17992
Albertville,Urban Area,Alabama,29460,36815,38476
Albion,Urban Area,Michigan,,,8133
Albion,Urban Area,New York,7966,8171,7216
Albuquerque,Urban Area,New Mexico,598191,741318,769837
Alexander City,Urban Area,Alabama,9048,9400,8920
Alexandria,Urban Area,Indiana,,,6140
Alexandria,Urban Area,Louisiana,78504,82804,78305
Alexandria,Urban Area,Minnesota,13883,16983,18957
Algona,Urban Area,Iowa,5918,5340,5443
Alice,Urban Area,Texas,21182,20974,19413
Allegan,Urban Area,Michigan,6323,6322,7247
Allendale,Urban Area,Michigan,,,25094
Allentown - Bethlehem,Urban Area,Pennsylvania / New Jersey,579772,664651,621703
Alliance,Urban Area,Nebraska,8882,8486,8119
Alliance,Urban Area,Ohio,34750,32533,30944
Alma - St. Louis,Urban Area,Michigan,16561,16924,17417
Alpena,Urban Area,Michigan,15200,14258,15425
Alpine,Urban Area,California,,,13307
Alpine,Urban Area,Texas,5906,6013,6283
Altavista,Urban Area,Virginia,4593,4663,4597
Alton,Urban Area,Illinois,84655,83890,79260
Altoona,Urban Area,Pennsylvania,82520,79930,74426
Altus,Urban Area,Oklahoma,21188,19900,18870
Alva,Urban Area,Oklahoma,5861,5620,5145
Alvarado,Urban Area,Texas,3960,4133,5034
Amarillo,Urban Area,Texas,179312,196651,205860
Americus,Urban Area,Georgia,18825,19106,17407
Ames,Urban Area,Iowa,50726,60438,66342
Amherst Town - Northampton - Easthampton Town,Urban Area,Massachusetts,,,90570
Amory,Urban Area,Mississippi,7194,6566,5977
Amsterdam,Urban Area,New York,22088,22262,21753
Anaconda-Deer Lodge County,Urban Area,Montana,6223,6170,6697
Anacortes,Urban Area,Washington,15061,16712,18529
Anadarko,Urban Area,Oklahoma,,,5005
Anamosa,Urban Area,Iowa,5609,5497,5411
Anchorage,Urban Area,Alaska,225744,251243,249252
Anchorage Northeast,Urban Area,Alaska,24276,28568,29561
Andalusia,Urban Area,Alabama,6175,6655,6391
Anderson,Urban Area,Indiana,,,79517
Anderson - Clemson,Urban Area,South Carolina,70436,75702,118369
Andrews,Urban Area,Texas,10569,12346,15201
Angleton,Urban Area,Texas,,,19866
Angola,Urban Area,Indiana,10583,11196,12686
Anna,Urban Area,Illinois,6824,6078,6068
Ann Arbor,Urban Area,Michigan,283904,306022,317689
Anniston - Oxford,Urban Area,Alabama,75840,79796,78302
Antigo,Urban Area,Wisconsin,8941,8158,8071
Antioch,Urban Area,California,220407,277634,326205
Appleton,Urban Area,Wisconsin,187683,216154,230967
Arab,Urban Area,Alabama,6596,8012,7849
Aransas Pass - Port Aransas - Ingleside,Urban Area,Texas,16726,16522,21868
Arcadia,Urban Area,Florida,14199,17490,16128
Arcata,Urban Area,California,,,19714
Ardmore,Urban Area,Oklahoma,20539,20888,21403
Arizona City,Urban Area,Arizona,4102,10531,9640
Arkadelphia,Urban Area,Arkansas,10565,10491,10086
Arkansas City,Urban Area,Kansas,12165,13026,11878
Arlington,Urban Area,Tennessee,,11502,14230
Arroyo Grande - Grover Beach - Pismo Beach,Urban Area,California,47550,52000,50885
Artesia,Urban Area,New Mexico,11397,12764,14149
Arvin,Urban Area,California,13234,19573,19385
Asbury Lake - Middleburg,Urban Area,Florida,,,23649
Ashburn,Urban Area,Georgia,4971,4489,4738
Asheboro,Urban Area,North Carolina,31656,37792,37523
Asheville,Urban Area,North Carolina,221570,280648,285776
Ashland,Urban Area,Ohio,21405,20226,19206
Ashland,Urban Area,Pennsylvania,,,4249
Ashland,Urban Area,Wisconsin,7851,7293,7225
Ashtabula,Urban Area,Ohio,,29346,27421
Ashville,Urban Area,Ohio,5413,6222,6670
Aspen,Urban Area,Colorado,6186,7710,7674
