City,Country,Population (2025)
Showt,Iran,90187.67241
Oral,Kazakhstan,173858.1385
Turkmenbashy,Turkmenistan,54954.90445
Kungrad,Uzbekistan,63185.46817
Islam Qala,Afghanistan,60028.41972
Nijoni,Tajikistan,55619.48537
Gwādar,Pakistan,92523.07042
Kara-Balta,Kyrgyzstan,62857.71155
Kralpora,India,387660.4724
Malé,Maldives,229283.1943
Babathan,Nepal,105155.6145
Jaffna,Sri Lanka,199496.8767
Thakurgaon,Bangladesh,258371.3805
Phuntsholing,Bhutan,76648.17601
Atyrau,Kazakhstan,203399.7246
Balkanabat,Turkmenistan,85514.77664
Khujayli,Uzbekistan,80591.33509
Ghurian,Afghanistan,130960.3182
Шадобдеҳ,Tajikistan,75548.11707
Turbat,Pakistan,187003.3015
Suzak,Kyrgyzstan,57880.02331
Dwarka,India,56911.98378
Laksmipur,Nepal,387185.2916
Puttalam,Sri Lanka,56762.42861
Panchagarh,Bangladesh,144238.4732
Qaraziadin,Iran,259412.3395
Aktau,Kazakhstan,259509.5032
Gyzylarbat,Turkmenistan,58095.17224
Chimbay,Uzbekistan,55949.47108
Qarabāg,Afghanistan,69915.96987
Ghonchi,Tajikistan,66380.48416
Qila Khudabadan,Pakistan,102782.0178
Jalal-Abad,Kyrgyzstan,122862.9004
Mithapur,India,59717.28641
Banjariya,Nepal,165421.9147
Wennappuwa,Sri Lanka,70379.68976
Pirganj,Bangladesh,54305.14834
Salmas,Iran,108250.2067
Qızıltöbe,Kazakhstan,89362.74054
Konye-Urgench,Turkmenistan,53791.59449
Nukus,Uzbekistan,289562.2979
Shahrinav,Tajikistan,68881.54919
Panjgur,Pakistan,122496.8884
Osh,Kyrgyzstan,481388.538
Mandvi,India,58365.99696
Tikapur,Nepal,74939.87744
Colombo [Sri Jayawardenepura Kotte],Sri Lanka,4720932.972
Bholarhat,Bangladesh,61104.78928
Khoy,Iran,191322.2922
Aktobe,Kazakhstan,420694.7151
Andalyp,Turkmenistan,72546.82953
Gurlan,Uzbekistan,63374.35094
Herat,Afghanistan,1489155.783
Proletar,Tajikistan,88515.36617
Kharan,Pakistan,68259.75882
Bishkek,Kyrgyzstan,1428079.244
Jaisalmer,India,84770.20413
Nepalgunj,Nepal,87713.81841
Bandaragama,Sri Lanka,89869.3059
Chapainawabganj,Bangladesh,785704.2757
Urmia,Iran,684658.6225
Zhanaozen,Kazakhstan,168146.305
Dashoguz,Turkmenistan,182056.1445
Khiva,Uzbekistan,136853.1297
Guzarah,Afghanistan,190043.4738
Khujand,Tajikistan,205423.9757
Chaman,Pakistan,91699.82663
Nookat,Kyrgyzstan,63785.54416
Baramulla,India,138338.5605
Tulsipur,Nepal,101378.2395
Ambalangoda,Sri Lanka,90835.49655
