City,Country,Population (2025)
Apia,Samoa,60041.65661
Nuku'alofa,Tonga,51990.7662
Papeete,French Polynesia,109747.1257
Honiara,Solomon Islands,137201.4211
Nouméa,New Caledonia,153190.4912
Port Vila,Vanuatu,72613.04782
Lautoka,Fiji,53550.44076
Tari,Papua New Guinea,70504.60599
Suva,Fiji,242909.9953
Mendi,Papua New Guinea,125843.2967
Wabag,Papua New Guinea,52455.43085
Mount Hagen,Papua New Guinea,100523.7956
Ganigle,Papua New Guinea,59693.26392
Kundiawa,Papua New Guinea,87985.85515
Goroka,Papua New Guinea,92211.42448
Madang,Papua New Guinea,88137.98919
Port Moresby,Papua New Guinea,442164.8952
Lae,Papua New Guinea,116211.7912
