Ānxī,China,336.073,,fujian
Chángtīng,China,161.833,,fujian
Dàtián,China,133.659,,fujian
Déhuà,China,193.12,,fujian
Dōngshān,China,102.791,,fujian
Fú'ān,China,326.019,,fujian
Fúdĭng,China,266.779,,fujian
Fúqīng,China,470.824,,fujian
Fúzhōu (incl. Chánglè) [Fuzhou],China,3.102.421,,fujian
Gŭtián,China,110.224,,fujian
Huá'an,China,59.262,,fujian
Huì'ān,China,465.638,,fujian
Jiānglè,China,70.302,,fujian
Jiànōu,China,192.557,,fujian
Jiànyáng,China,150.756,,fujian
Jìnjiāng,China,1.172.827,,fujian
Liánchéng,China,82.974,,fujian
Liánjiāng,China,197.677,,fujian
Lóngyán,China,460.086,,fujian
Luóyuán,China,76.358,,fujian
Mĭnhòu,China,294.677,,fujian
Mĭnqīng,China,72.619,,fujian
Nán'ān,China,718.516,,fujian
Nánjìng,China,135.639,,fujian
Nánpíng,China,301.37,,fujian
Níngdé,China,252.497,,fujian
Nínghuà,China,82.807,,fujian
Pínghé,China,162.472,,fujian
Píngtán,China,113.927,,fujian
Pŭchéng,China,129.391,,fujian
Pútián [Putian],China,1.107.199,,fujian
Quánzhōu,China,1.154.731,,fujian
Sānmíng,China,328.766,,fujian
Shàngháng,China,114.849,,fujian
Shàowŭ,China,183.457,,fujian
Shāxiàn,China,129.762,,fujian
Shíshī,China,469.969,,fujian
Shòuníng,China,72.244,,fujian
Shùnchāng,China,87.489,,fujian
Wŭpíng,China,82.28,,fujian
Wŭyíshān (Chóng'ān),China,122.801,,fujian
Xiàmén (Amoy) [Xiamen],China,3.119.110,,fujian
Xiānyóu,China,303.816,,fujian
Xiápŭ,China,175.159,,fujian
Yŏng'ān,China,213.732,,fujian
Yŏngchūn,China,238.63,,fujian
Yŏngdìng,China,136.496,,fujian
Yŏngtài,China,79.573,,fujian
Yóuxī,China,129.61,,fujian
Yúnxiāo,China,166.051,,fujian
Zhāngpíng (Jīngchéng),China,113.739,,fujian
Zhāngpŭ,China,302.634,,fujian
"Zhāngzhōu (incl. Lónghăi, Chángtài)",China,1.122.360,,fujian
Zhào'ān,China,196.355,,fujian
Zhènghé,China,67.099,,fujian
Zhōuníng,China,49.128,,fujian
