city,country,population,reference_date,state
Ānqìng,China,570538,2010-11-01,anhui
Bèngbù [ Bengbu ],China,793866,2010-11-01,anhui
Bówàng,China,88712,,anhui
Bózhōu,China,474318,2010-11-01,anhui
Chángfēng,China,188225,2010-11-01,anhui
Cháohú ( Jūcháo ),China,404789,2010-11-01,anhui
Chízhōu ( Guìchí ),China,289122,2010-11-01,anhui
Chúzhōu,China,392461,2010-11-01,anhui
Dàngshān,China,286981,2010-11-01,anhui
Dāngtú,China,211521,2010-11-01,anhui
Dìngyuăn,China,214062,2010-11-01,anhui
Dōngzhì,China,204663,2010-11-01,anhui
Fánchāng,China,113011,2010-11-01,anhui
Féidōng,China,303171,2010-11-01,anhui
Féixī,China,297150,2010-11-01,anhui
Fèngtái,China,203629,2010-11-01,anhui
Fèngyáng,China,180319,2010-11-01,anhui
Fùnán,China,267769,2010-11-01,anhui
Fùyáng [ Fuyang ],China,780522,2010-11-01,anhui
Guăngdé,China,224940,2010-11-01,anhui
Gùzhèn,China,134303,2010-11-01,anhui
Hánshān,China,125647,2010-11-01,anhui
Héféi [ Hofei ],China,3098727,2010-11-01,anhui
Héxiàn,China,231820,2010-11-01,anhui
Huáibĕi [ Huaibei ],China,854696,2010-11-01,anhui
Huáinán [ Huainan ],China,1238488,2010-11-01,anhui
Huáiníng,China,221545,2010-11-01,anhui
Huáiyuăn,China,251452,2010-11-01,anhui
Huángshān ( Túnxī ),China,287576,2010-11-01,anhui
Huòqiū,China,296081,2010-11-01,anhui
Huòshān,China,187343,2010-11-01,anhui
Jièshŏu,China,214776,2010-11-01,anhui
Jīngxiàn,China,112479,2010-11-01,anhui
Jīnzhài,China,157811,2010-11-01,anhui
Jìxī,China,64230,2010-11-01,anhui
Lái'ān,China,144675,2010-11-01,anhui
Lángxī,China,104038,2010-11-01,anhui
Língbì,China,246395,2010-11-01,anhui
Línquán,China,306687,2010-11-01,anhui
Lìxīn,China,291618,2010-11-01,anhui
Lù'ān [ Lu'an ],China,661217,2010-11-01,anhui
Lújiāng,China,387895,2010-11-01,anhui
Mă'ānshān [ Ma'anshan ],China,657847,2010-11-01,anhui
Mĕngchéng,China,272836,2010-11-01,anhui
Míngguāng ( Jiāshān ),China,204323,2010-11-01,anhui
Nánlíng,China,141831,2010-11-01,anhui
Níngguó,China,231090,2010-11-01,anhui
Qiánshān,China,165779,2010-11-01,anhui
Qímén,China,50863,2010-11-01,anhui
Qīngyáng,China,99541,2010-11-01,anhui
Quánjiāo,China,173905,2010-11-01,anhui
Shèxiàn,China,117510,2010-11-01,anhui
Shòuxiàn,China,352612,2010-11-01,anhui
Shūchéng,China,299470,2010-11-01,anhui
Sìxiàn,China,147684,2010-11-01,anhui
Suīxī,China,264855,2010-11-01,anhui
Sùsōng,China,169766,2010-11-01,anhui
Sùzhōu [ Suzhou ],China,742685,2010-11-01,anhui
Tàihé,China,463837,2010-11-01,anhui
Tàihú,China,117512,2010-11-01,anhui
Tiāncháng,China,324625,2010-11-01,anhui
Tóngchéng,China,269346,2010-11-01,anhui
Tónglíng ( incl. Yì'ān ),China,526261,2010-11-01,anhui
Wàngjiāng,China,173554,2010-11-01,anhui
Wānzhǐ ( Wúhú ),China,112093,2010-11-01,anhui
Wōyáng,China,319949,2010-11-01,anhui
Wŭhé,China,193933,2010-11-01,anhui
Wúhú [ Wuhu ],China,1108087,2010-11-01,anhui
Wúwéi,China,424165,2010-11-01,anhui
Xiāoxiàn,China,247117,2010-11-01,anhui
Xiūníng,China,70803,2010-11-01,anhui
Xuānchéng ( Xuānzhōu ),China,315058,2010-11-01,anhui
Yĭngshàng,China,359533,2010-11-01,anhui
Yuèxī,China,75481,2010-11-01,anhui
Zōngyáng,China,189973,2010-11-01,anhui
Bĕijīng [ Beijing ],China,16704306,2010-11-01,beijing
Yánqìng,China,154386,2010-11-01,beijing
Bìshān,China,246425,2010-11-01,chongqing
Chángshòu,China,408261,2010-11-01,chongqing
Chéngkŏu,China,49039,2010-11-01,chongqing
"Chóngqìng ( incl. Bānán, Jiāngbĕi ) [ Chungking ]",China,6263790,2010-11-01,chongqing
Dàzú ( incl. Shuāngqiáo ),China,315183,2010-11-01,chongqing
Diànjiāng,China,241424,2010-11-01,chongqing
Fēngdū,China,224003,2010-11-01,chongqing
Fèngjié,China,269302,2010-11-01,chongqing
Fúlíng [ Fuling ],China,595224,2010-11-01,chongqing
Héchuān [ Hechuan ],China,721753,2010-11-01,chongqing
Jiāngjīn [ Jiangjin ],China,686189,2010-11-01,chongqing
Kāizhōu ( Kāixiàn ),China,416415,2010-11-01,chongqing
Liángpíng,China,235753,2010-11-01,chongqing
Nánchuān,China,255045,2010-11-01,chongqing
Péngshuĭ,China,137409,2010-11-01,chongqing
Qiánjiāng,China,173997,2010-11-01,chongqing
Qíjiāng,China,328573,2010-11-01,chongqing
Róngchāng,China,271232,2010-11-01,chongqing
Shízhù,China,134173,2010-11-01,chongqing
Tóngliáng,China,248962,2010-11-01,chongqing
Tóngnán,China,247084,2010-11-01,chongqing
Wànshèng,China,185362,2010-11-01,chongqing
Wànzhōu ( Wànxiàn ) [ Wanzhou ],China,859662,2010-11-01,chongqing
Wŭlóng,China,115823,2010-11-01,chongqing
Wūshān,China,148597,2010-11-01,chongqing
Wūxī,China,105111,2010-11-01,chongqing
Xiùshān,China,150566,2010-11-01,chongqing
Yŏngchuān,China,582769,2010-11-01,chongqing
Yŏuyáng,China,137635,2010-11-01,chongqing
Yúnyáng,China,293636,2010-11-01,chongqing
Zhōngxiàn,China,247406,2010-11-01,chongqing
Ānxī,China,336073,2011-11-01,fujian
Chángtīng,China,161833,2011-11-01,fujian
Dàtián,China,133659,2011-11-01,fujian
Déhuà,China,19312,2011-11-01,fujian
Dōngshān,China,102791,2011-11-01,fujian
Fú'ān,China,326019,2011-11-01,fujian
Fúdĭng,China,266779,2011-11-01,fujian
Fúqīng,China,470824,2011-11-01,fujian
Fúzhōu (incl Chánglè) [Fuzhou],China,3102421,2011-11-01,fujian
Gŭtián,China,110224,2011-11-01,fujian
Huá'an,China,59262,2011-11-01,fujian
Huì'ān,China,465638,2011-11-01,fujian
Jiānglè,China,70302,2011-11-01,fujian
Jiànōu,China,192557,2011-11-01,fujian
Jiànyáng,China,150756,2011-11-01,fujian
Jìnjiāng,China,1172827,2011-11-01,fujian
Liánchéng,China,82974,2011-11-01,fujian
Liánjiāng,China,197677,2011-11-01,fujian
Lóngyán,China,460086,2011-11-01,fujian
Luóyuán,China,76358,2011-11-01,fujian
Mĭnhòu,China,294677,2011-11-01,fujian
Mĭnqīng,China,72619,2011-11-01,fujian
Nán'ān,China,718516,2011-11-01,fujian
Nánjìng,China,135639,2011-11-01,fujian
Nánpíng,China,30137,2011-11-01,fujian
Níngdé,China,252497,2011-11-01,fujian
Nínghuà,China,82807,2011-11-01,fujian
Pínghé,China,162472,2011-11-01,fujian
Píngtán,China,113927,2011-11-01,fujian
Pŭchéng,China,129391,2011-11-01,fujian
Pútián [Putian],China,1107199,2011-11-01,fujian
Quánzhōu,China,1154731,2011-11-01,fujian
Sānmíng,China,328766,2011-11-01,fujian
Shàngháng,China,114849,2011-11-01,fujian
Shàowŭ,China,183457,2011-11-01,fujian
Shāxiàn,China,129762,2011-11-01,fujian
Shíshī,China,469969,2011-11-01,fujian
Shòuníng,China,72244,2011-11-01,fujian
Shùnchāng,China,87489,2011-11-01,fujian
Wŭpíng,China,8228,2011-11-01,fujian
Wŭyíshān (Chóng'ān),China,122801,2011-11-01,fujian
Xiàmén (Amoy) [Xiamen],China,3119110,2011-11-01,fujian
Xiānyóu,China,303816,2011-11-01,fujian
Xiápŭ,China,175159,2011-11-01,fujian
Yŏng'ān,China,213732,2011-11-01,fujian
Yŏngchūn,China,23863,2011-11-01,fujian
Yŏngdìng,China,136496,2011-11-01,fujian
Yŏngtài,China,79573,2011-11-01,fujian
Yóuxī,China,12961,2011-11-01,fujian
Yúnxiāo,China,166051,2011-11-01,fujian
Zhāngpíng (Jīngchéng),China,113739,2011-11-01,fujian
Zhāngpŭ,China,302634,2011-11-01,fujian
"Zhāngzhōu (incl Lónghăi, Chángtài)",China,1122360,2011-11-01,fujian
Zhào'ān,China,196355,2011-11-01,fujian
Zhènghé,China,67099,2011-11-01,fujian
Zhōuníng,China,49128,2011-11-01,fujian

Báiyín,China,246374,2010-11-01,gansu
Chéngxiàn,China,83624,2010-11-01,gansu
Dìngxī,China,158062,2010-11-01,gansu
Dūnhuáng,China,111535,2010-11-01,gansu
Gāngŭ,China,97961,2010-11-01,gansu
Guănghé,China,43313,2010-11-01,gansu
Gŭlàng,China,65937,2010-11-01,gansu
Hézuò,China,57384,2010-11-01,gansu
Huánxiàn,China,56493,2010-11-01,gansu
Huátíng,China,88454,2010-11-01,gansu
Huìníng,China,104419,2010-11-01,gansu
Huīxiàn,China,54610,2010-11-01,gansu
Jiāyùguān,China,216362,2010-11-01,gansu
Jīnchāng,China,195409,2010-11-01,gansu
Jīngchuān,China,68318,2010-11-01,gansu
Jìngníng,China,68506,2010-11-01,gansu
Jĭngtài,China,92355,2010-11-01,gansu
Jìngyuăn,China,113709,2010-11-01,gansu
Jiǔquán,China,255739,2010-11-01,gansu
Lánzhōu [ Lanzhou ],China,2438595,2010-11-01,gansu
Lánzhōu Xīnqū [ Lanzhou New Area ],China,167044,2020-11-01,gansu
Líntáo,China,121345,2010-11-01,gansu
Línxià,China,220895,2010-11-01,gansu
Lĭxiàn,China,51130,2010-11-01,gansu
Lŏngnán ( Wŭdū ),China,136468,2010-11-01,gansu
Lŏngxī,China,162315,2010-11-01,gansu
Mínlè,China,48691,2010-11-01,gansu
Mínqín,China,45805,2010-11-01,gansu
Mínxiàn,China,54199,2010-11-01,gansu
Níngxiàn,China,60294,2010-11-01,gansu
Píngchuān,China,115989,2010-11-01,gansu
Píngliáng,China,248421,2010-11-01,gansu
Qín'ān,China,93899,2010-11-01,gansu
Qìngchéng,China,67802,2010-11-01,gansu
Qīngshuĭ,China,40978,2010-11-01,gansu
Qìngyáng ( Xīfēng ),China,181780,2010-11-01,gansu
Shāndān,China,66168,2010-11-01,gansu
Tiānshuĭ [ Tianshui ],China,544441,2010-11-01,gansu
Tōngwèi,China,44955,2010-11-01,gansu
Wèiyuán,China,46358,2010-11-01,gansu
Wŭshān,China,87293,2010-11-01,gansu
Wŭwēi,China,331370,2010-11-01,gansu
Xīhé,China,46125,2010-11-01,gansu
Yŏngchāng,China,92762,2010-11-01,gansu
Yŏngdēng,China,138111,2010-11-01,gansu
Yŏngjìng,China,69698,2010-11-01,gansu
Yùmén,China,78940,2010-11-01,gansu
Yúzhōng,China,139630,2010-11-01,gansu
Zhāngjiāchuān,China,53665,2010-11-01,gansu
Zhāngyè,China,216760,2010-11-01,gansu
Zhèngníng,China,43605,2010-11-01,gansu
Zhènyuán,China,55273,2010-11-01,gansu
Zhuānglàng,China,55663,2010-11-01,gansu
Bóluó,China,471902,2010-11-01,guangdong
Cháozhōu ( incl. Cháo'ān ),China,1256268,2010-11-01,guangdong
Dàbŭ,China,161014,2010-11-01,guangdong
Déqìng,China,85086,2010-11-01,guangdong
Dōngguān,China,7271322,2010-11-01,guangdong
Dōngyuán,China,94751,2010-11-01,guangdong
Ēnpíng,China,244257,2010-11-01,guangdong
Fēngkāi,China,116798,2010-11-01,guangdong
Fēngshùn,China,207417,2010-11-01,guangdong
Fógāng,China,118429,2010-11-01,guangdong
