City,Country,Population (2025)
Rosarito,México,76707.05999
Malacatán,Guatemala,62529.1453
Ahuachapan,El Salvador,83851.12663
Santa Rosa,Honduras,53613.32151
Chinandega,Nicaragua,104366.0248
Belize City,Belize,76330.51281
Liberia,Costa Rica,52864.19541
David,Panama,126994.9335
Talara,Peru,79733.42422
Salinas [Santa Elena],Ecuador,267482.0613
San Andrés,Colombia,59179.78244
Pinar del Rio,Cuba,150118.8481
Montego Bay,Jamaica,116517.2529
Nassau,Bahamas,261235.2051
Cruzeiro do Sul,Brazil,63746.10474
Ureña,Venezuela,50768.28206
Jérémie,Haiti,60004.22884
Oranjestad,Aruba,58101.1546
Santa Cruz de Barahona,Dominican Republic,78420.96092
Arica,Chile,121518.9626
Willemstad,Curaçao,162058.5603
Cobija,Bolivia,71680.29271
Ponce,Puerto Rico,85911.66768
San Juan,Argentina,464848.0496
Port of Spain,Trinidad and Tobago,474069.7262
Fort-de-France,Martinique,91150.17104
Bridgetown,Barbados,152912.0999
Georgetown,Guyana,130680.0749
Paramaribo,Suriname,253625.5111
Concepción,Paraguay,89487.14958
Salto,Uruguay,96048.22189
Cayenne,French Guiana,75925.31354
Fracc Villas del Real 2da Seccion,México,60404.09164
Coatepeque,Guatemala,100000.5741
Sonsonate,El Salvador,181726.1955
Cofradía,Honduras,97875.68789
León,Nicaragua,155984.7874
Barranca,Costa Rica,65404.95356
Paita,Peru,99936.3643
Manta,Ecuador,284614.4637
Colón,Panama,187545.5842
Tumaco,Colombia,118072.3984
Artemisa,Cuba,54452.06502
Mandeville,Jamaica,96832.16313
San Antonio del Táchira,Venezuela,52514.10676
Les Cayes,Haiti,83542.87306
San Juan de la Maguana,Dominican Republic,63926.30407
Iquique,Chile,316450.4212
Rio Branco,Brazil,330538.5819
La Paz,Bolivia,2063632.692
Bayamón [San Juan],Puerto Rico,748533.7858
Mendoza,Argentina,1063216.859
San Fernando,Trinidad and Tobago,119286.1527
Paradise,Guyana,103152.3946
Asuncion,Paraguay,1175481.866
Paysandú,Uruguay,82193.38372
Ensenada,México,268062.5449
San Pedro Sacatepéquez [San Marcos],Guatemala,116335.4396
Chalchuapa,El Salvador,65024.15551
Siguatepeque,Honduras,77747.65139
Managua,Nicaragua,1436088.514
San José,Costa Rica,2272571.519
Sullana,Peru,208680.8576
Portoviejo,Ecuador,227222.437
La Chorrera,Panama,165453.6996
Havana,Cuba,1632771.662
Ipiales,Colombia,116592.1093
May Pen,Jamaica,74795.0087
Rubio,Venezuela,73233.63707
Petit-Goâve,Haiti,149312.8837
Mao,Dominican Republic,69075.17364
Antofagasta,Chile,365402.108
Riberalta,Bolivia,81222.80955
Tefé,Brazil,57907.99535
Caguas,Puerto Rico,90278.18034
San Salvador de Jujuy,Argentina,278978.2479
Chaguanas,Trinidad and Tobago,131058.1254
Pedro Juan Caballero,Paraguay,127053.1349
Tacuarembó,Uruguay,51238.08823
Tijuana,México,1538300.988
Retalhuleu,Guatemala,64265.58646
Santa Ana,El Salvador,205664.8586
San Pedro Sula,Honduras,1301567.028
Esteli,Nicaragua,113538.3689
Cartago,Costa Rica,189382.72
Piura,Peru,491829.2709
Huaquillas,Ecuador,51772.30811
Arraiján,Panama,265294.3228
Las Guásimas,Cuba,56583.78616
Pasto,Colombia,352415.4738
Old Harbour,Jamaica,59137.69223
Machiques,Venezuela,95605.92587
Grand Goâve,Haiti,68282.34523
Azua,Dominican Republic,62726.24381
Calama,Chile,125065.6549
Oruro,Bolivia,368455.6079
Porto Velho,Brazil,419754.5503
Salta,Argentina,633196.1256
Coronel Oviedo,Paraguay,109879.6199
Rivera,Uruguay,73341.67075
San Luis,México,56171.30427
Quetzaltenango,Guatemala,295632.8341
Ciudad Arce,El Salvador,55350.75825
Villanueva,Honduras,96751.68173
Masaya,Nicaragua,166945.7551
Limón,Costa Rica,50579.21513
Tumbes,Peru,109279.5819
Chone,Ecuador,65291.69155
Panama City,Panama,1612439.467
Managua,Cuba,115963.9621
Buenaventura,Colombia,430956.3827
Portmore,Jamaica,342759.3864
San Cristobal,Venezuela,374936.0484
Anse-à-Galets,Haiti,70775.25349
Esperanza,Dominican Republic,55707.18438
Copiapó,Chile,179962.0202
Cochabamba,Bolivia,1357547.955
Coari,Brazil,59193.45439
Palpalá,Argentina,72871.71389
Villarrica,Paraguay,72259.19826
