City,Country,Population (2025),Province ID,Victory Points
Ewa Beach,United States,53720.65818,,
Victoria,Canada,250759.7761,,
Honolulu,United States,541956.7544,,
Nanaimo,Canada,78391.23222,,
Mililani,United States,51805.77418,,
Vancouver,Canada,2198106.667,,
Kahului,United States,51667.89837,,
White Rock,Canada,92978.36576,,
Santa Maria,United States,102215.9631,,
Langley City,Canada,111957.9831,,
Santa Barbara,United States,96521.30264,,
Maple Ridge,Canada,83596.00921,,
Santa Cruz,United States,93032.12262,,
Abbotsford,Canada,110035.8289,,
Salinas,United States,164375.8959,,
Kelowna,Canada,72915.40591,,
Oxnard,United States,247773.1298,,
Lethbridge,Canada,63047.54135,,
Watsonville,United States,58506.6287,,
Calgary,Canada,1524648.523,,
Ventura,United States,72162.89916,,
Red Deer,Canada,107274.6703,,
San Francisco,United States,4718348.828,,
Grande Prairie,Canada,56968.02446,,
Camarillo,United States,63042.37005,,
Edmonton,Canada,1144485.708,,
San Rafael,United States,67983.67397,,
Sherwood Park,Canada,85457.81379,,
Thousand Oaks,United States,53507.04975,,
Regina,Canada,241948.588,,
Petaluma,United States,53297.71077,,
Saskatoon,Canada,286314.9234,,
Simi Valley,United States,105845.655,,
Timberlea,Canada,55193.11899,,
Los Angeles,United States,13474332.62,,
Winnipeg,Canada,752807.6451,,
Santa Rosa,United States,147435.946,,
Windsor,Canada,244810.3135,,
Pleasanton,United States,133551.7596,,
Sarnia,Canada,67429.2033,,
Concord,United States,285552.8092,,
London,Canada,365269.0491,,
Vallejo,United States,149890.9945,,
Sault Ste. Marie,Canada,51849.11927,,
Livermore,United States,74099.92886,,
Kitchener,Canada,388026.6619,,
San Diego,United States,1977278.929,,
Brantford,Canada,105140.1635,,
Napa,United States,76799.75972,,
Cambridge,Canada,148072.5144,,
Antioch,United States,187963.5613,,
Guelph,Canada,118287.7541,,
Mission Viejo,United States,370029.2788,,
Hamilton,Canada,446366.6817,,
Poway,United States,262038.2523,,
Burlington,Canada,188401.649,,
Encinitas,United States,78795.81213,,
Milton,Canada,89006.68527,,
Oceanside,United States,116636.8732,,
Toronto,Canada,5566381.566,,
Fairfield,United States,101521.8112,,
St. Catharines,Canada,145796.5757,,
Brentwood,United States,74478.06754,,
Niagara Falls,Canada,75875.27775,,
Escondido,United States,449581.3416,,
Newmarket,Canada,90057.89641,,
Bakersfield,United States,644120.8269,,
Barrie,Canada,139402.353,,
Tracy,United States,94817.56671,,
Pickering,Canada,222937.883,,
Vacaville,United States,83182.98973,,
Oshawa,Canada,311499.7659,,
Riverside,United States,495766.989,,
Peterborough,Canada,66802.37242,,
Manteca,United States,59238.7273,,
Kingston,Canada,88900.134,,
Stockton,United States,408517.1329,,
Kanata,Canada,61217.55502,,
Modesto,United States,334844.7468,,
Honey Gables,Canada,82570.67154,,
Palmdale,United States,70308.41787,,
Ottawa,Canada,604618.1703,,
Turlock,United States,72284.46149,,
Gatineau,Canada,119331.5523,,
Temecula,United States,231862.1793,,
Orléans,Canada,118003.9613,,
Hanford,United States,57595.21034,,
Vaudreuil-Dorion,Canada,52862.60505,,
Lancaster,United States,63792.85533,,
Montreal,Canada,3221844.478,,
Merced,United States,85960.78581,,
Saint-Jérôme,Canada,52799.38369,,
Davis,United States,78088.97252,,
Terrebonne,Canada,91639.94387,,
Lodi,United States,73053.43309,,
Saint-Jean-sur-Richelieu,Canada,76552.53136,,
Rancho las Perris,United States,51757.49941,,
Repentigny,Canada,97561.00836,,
Madera,United States,69217.56117,,
Sherbrooke,Canada,87476.69269,,
Moreno Valley,United States,210389.6834,,
Trois-Rivières,Canada,97591.30653,,
Fresno,United States,747153.9112,,
Quebec,Canada,619035.9201,,
Woodland,United States,54503.37336,,
Halifax,Canada,227622.3687,,
Sacramento,United States,1697183.792,,
St. John's,Canada,75023.41972,,
Visalia,United States,96382.52604,,
Hemet,United States,145151.1669,,
Porterville,United States,57544.66296,,
Natoma Station,United States,60602.60173,,
Yuba City,United States,62503.2726,,
Palm Springs,United States,53538.07129,,
Rocklin,United States,59092.335,,
Palm Desert,United States,124015.5752,,
Indio,United States,209723.6758,,
Chico,United States,91701.62104,,
Yuma,United States,72053.03068,,
Reno,United States,233376.4633,,
Medford,United States,86430.0037,,
Las Vegas,United States,2371780.056,,
Providence,United States,74470.41029,,
Phoenix,United States,2608874.085,,
Mesa,United States,1724503.365,,
