City,Country,Population,Census Date
Abbeville,USA,18078,4/1/20
Abbeville,USA,4940,4/1/20
Aberdeen,USA,27982,4/1/20
Aberdeen,USA,26603,4/1/20
Abilene,USA,6605,4/1/20
Abilene,USA,118138,4/1/20
Ada,USA,5343,4/1/20
Ada,USA,17264,4/1/20
Adairsville,USA,5799,4/1/20
Adel,USA,7034,4/1/20
Adel,USA,5674,4/1/20
Adrian,USA,29206,4/1/20
Ahoskie,USA,4861,4/1/20
Akron,USA,541879,4/1/20
Alamogordo,USA,30801,4/1/20
Alamosa,USA,10965,4/1/20
Albany,USA,85960,4/1/20
Albany,USA,62074,4/1/20
Albany - Schenectady,USA,593142,4/1/20
Albemarle,USA,16988,4/1/20
Albert Lea,USA,17992,4/1/20
Albertville,USA,38476,4/1/20
Albion,USA,8133,4/1/20
Albion,USA,7216,4/1/20
Albuquerque,USA,769837,4/1/20
Alexander City,USA,8920,4/1/20
Alexandria,USA,6140,4/1/20
Alexandria,USA,78305,4/1/20
Alexandria,USA,18957,4/1/20
Algona,USA,5443,4/1/20
Alice,USA,19413,4/1/20
Allegan,USA,7247,4/1/20
Allendale,USA,25094,4/1/20
Allentown - Bethlehem,USA,621703,4/1/20
Alliance,USA,8119,4/1/20
Alliance,USA,30944,4/1/20
Alma - St. Louis,USA,17417,4/1/20
Alpena,USA,15425,4/1/20
Alpine,USA,13307,4/1/20
Alpine,USA,6283,4/1/20
Altavista,USA,4597,4/1/20
Alton,USA,79260,4/1/20
Altoona,USA,74426,4/1/20
Altus,USA,18870,4/1/20
Alva,USA,5145,4/1/20
Alvarado,USA,5034,4/1/20
Amarillo,USA,205860,4/1/20
Americus,USA,17407,4/1/20
Ames,USA,66342,4/1/20
Amherst Town - Northampton - Easthampton Town,USA,90570,4/1/20
Amory,USA,5977,4/1/20
Amsterdam,USA,21753,4/1/20
Anaconda-Deer Lodge County,USA,6697,4/1/20
Anacortes,USA,18529,4/1/20
Anadarko,USA,5005,4/1/20
Anamosa,USA,5411,4/1/20
Anchorage,USA,249252,4/1/20
Anchorage Northeast,USA,29561,4/1/20
Andalusia,USA,6391,4/1/20
Anderson,USA,79517,4/1/20
Anderson - Clemson,USA,118369,4/1/20
Andrews,USA,15201,4/1/20
