prov_id,names,owner,population,year,victory_points
11599,Aqwa; Sokhumi; Sukhum; Sukhumi,ABZ,65146,2022,
11647,Gagra,ABZ,12002,2018,
3898,Andorra la Vella,ADR,22256,2011,
12904,Khankendi; Stepanakert; Xankəndi,AKH,52900,2010,
9914,Elbasan,ALB,68429,2025,
9780,Shkodër,ALB,77144,2025,
6900,Durrës,ALB,131865,2025,
13841,Tirana; Tirona,ALB,995789,2025,
11767,Vlorë,ALB,74501,2025,
1013,Aš-Šalif; Chlef,ALG,216910,2025,
1058,Tibissa; Tébessa,ALG,260482,2025,
1095,Adrar; Adrār,ALG,107335,2025,
1128,'Īn Wusāra; Aïn Oussera,ALG,147459,2025,
1141,Henšela; Khenchela,ALG,160444,2025,
1145,Al-Jazā'ir; Algiers,ALG,3316232,2025,
1160,Souk Ahras; Sūq Ahrās,ALG,222438,2025,
1967,Al-Aghwāṭ; Laghouat,ALG,235439,2025,
2049,Ghardaïa; Ġardāya,ALG,149916,2025,
4116,Tilimsān; Tlemcen,ALG,294082,2025,
4146,Al-Madiya; Médéa,ALG,156467,2025,
4970,Al-Wādī; El Oued,ALG,281360,2025,
5035,Ouargla; Warqalah,ALG,250308,2025,
7033,M'Sila; Āl-Msyla,ALG,201841,2025,
7065,Al-'Ulma; El Eulma,ALG,196881,2025,
7166,Bordj Bou Arréridj; Burğ Bū 'Urairīğ,ALG,209845,2025,
10045,Sa'īda; Saïda,ALG,191803,2025,
10731,Bešār; Béchar,ALG,200687,2025,
11923,Sidi Bel Abbès; Sīdī Bu Al-'Abbās,ALG,265431,2025,
11939,Tizi Ouzou; Tizi Wuzu,ALG,121426,2025,
12018,Al-Mašrya; Mécheria,ALG,112802,2025,
12034,Al-Ǧilfah; Djelfa,ALG,612877,2025,
12051,Skikda; Skykda,ALG,252926,2025,
12760,Tiaret; Tyāret,ALG,246774,2025,
15219,Tamanrasset; Tāmanrāssit,ALG,125555,2025,
15231,Oran; Wahrān,ALG,1261238,2025,
15236,Al-Bulaydah; Blida,ALG,703326,2025,
15238,Batna; Bātna,ALG,377992,2025,
15239,Constantine; Qusanṭīnah,ALG,507697,2025,
15241,Annaba; Anāba,ALG,471639,2025,
15242,Siṭīf; Sétif,ALG,366338,2025,
1958,Tindouf; Tindūf,ALG,150000,2008,
8077,'Īn Ṣalāḥ; Aïn Salah,ALG,32518,2008,
10749,Illizi; Ilyzy,ALG,52333,2008,
13074,Al-Bayaḍ; El Bayadh,ALG,85577,2008,
15223,'In 'Amanās; In Amenas,ALG,14913,2008,
15224,Bordj Badji Mokhtar; Borǧ Bāǧy Moẖtār,ALG,16437,2008,
15235,Algiers International Airport; Maṭār Al-Jazā'ir Al-Dawli,ALG,,,1
12441,Gyumri,ARM,84760,2025,
12906,Erevan; Yerevan,ARM,1027656,2025,
4660,Kapan,ARM,32900,2025,
8155,Mezhdunarodnyy Aeroport Erevan; Zvartnots International Airport; Zvart’nots’ Odanavakayan,ARM,,,1
12380,Vanadzor,ARM,78100,2025,
673,Innsbruck,ASA,144226,2025,
688,Salzburg,ASA,143452,2025,
14440,Vienna; Wien,ASA,2056565,2025,
14444,Graz,ASA,306742,2025,
14447,Linz,ASA,243243,2025,
14448,Wels,ASA,54304,2025,
671,Lienz,ASA,11761,2011,
3673,Klagenfurt am Wörthersee,ASA,94483,2011,
3700,Eisenstadt,ASA,13101,2011,
6552,Krems an der Donau,ASA,24032,2011,
6673,Villach,ASA,59324,2011,
6680,Dornbirn,ASA,45922,2011,
6687,Judenburg,ASA,9312,2011,
6690,Leoben,ASA,24598,2011,
9661,Wiener Neustadt,ASA,41305,2011,
704,St Pölten,ASA,51955,2011,
732,Freistadt,ASA,7909,2018,
6739,Liezen,ASA,8191,2018,
14443,Vienna Airport; Wien-Flughafen,ASA,,,2
1454,Gold Coast,AUS,279191,2025,
1540,Geraldton,AUS,36884,2011,
1611,Lismore,AUS,29294,2011,
1759,Traralgon,AUS,40609,2011,
1773,Mount Gambier,AUS,28279,2011,
2114,Ballarat,AUS,67880,2025,
4441,Cairns,AUS,57591,2025,
4462,Mackay,AUS,79683,2011,
4478,Dubbo,AUS,35281,2011,
4481,Bundaberg,AUS,69095,2011,
4487,Airlie Beach - Cannonvale,AUS,10982,2011,
4632,Emerald,AUS,13632,2011,
4776,Bendigo,AUS,87340,2011,
5175,Kalgoorlie-Boulder,AUS,31933,2011,
5181,Devonport,AUS,30392,2011,
7471,Tamworth,AUS,40085,2011,
7522,Hervey Bay,AUS,49835,2011,
7564,Brisbane,AUS,1359105,2025,
7651,Rockhampton,AUS,75730,2011,
7755,Shepparton - Mooroopna,AUS,47571,2011,
7798,Melbourne,AUS,4010658,2025,
7811,Warrnambool,AUS,33020,2011,
8130,Esperance,AUS,11777,2011,
8152,Karratha,AUS,17007,2011,
8165,Perth,AUS,1357382,2025,
8209,Broome,AUS,13314,2011,
8228,Bunbury,AUS,67860,2011,
8243,Albany,AUS,31791,2011,
10430,Toowoomba,AUS,92941,2025,
10445,Warwick,AUS,14950,2011,
10455,Wagga Wagga,AUS,54137,2011,
10941,Newcastle,AUS,205366,2025,
10969,Darwin,AUS,116995,2011,
10977,Hobart,AUS,69906,2025,
11006,Wollongong,AUS,149057,2025,
12308,Gladstone,AUS,43166,2011,
12406,Sydney,AUS,4375394,2025,
12645,Launceston,AUS,86051,2011,
12934,Geelong,AUS,165825,2025,
15416,Adelaide,AUS,938328,2025,
15419,Port Pirie,AUS,14281,2011,
15420,Whyalla,AUS,22471,2011,
15422,Alice Springs,AUS,28489,2011,
15432,Mount Isa,AUS,21514,2011,
1410,Nhulunbuy,AUS,3267,2021,
1472,Biloela,AUS,5808,2011,
1478,Townsville,AUS,167561,2011,
1514,Katherene,AUS,5980,2021,
1667,Albury,AUS,84195,2011,
2116,Central Coast,AUS,319519,2011,
5207,Kununurra,AUS,4515,2021,
7450,Coffs Harbour,AUS,66689,2011,
7481,Sunshine Coast,AUS,96778,2025,
7535,Nambour,AUS,16251,2011,
7538,Sydney Airport,AUS,,,2
7859,Canberra,AUS,55458,2025,
8249,Mildura,AUS,48505,2011,
12323,Carnarvon,AUS,4162,2025,
12424,Moranbah,AUS,8624,2011,
12451,Goondiwindi,AUS,5511,2011,
12993,Melbourne Airport,AUS,,,1
13169,Perth International Airport,AUS,,,1
1536,Shirvan; Şirvan,AZJ,100905,2025,
1610,Agdzhabedi; Agjabedi; Ağcabədi,AZJ,39200,2011,
2186,Gazakh; Qazax,AZJ,2100,2011,
4458,Khachmaz; Xaçmaz,AZJ,66906,2025,
4614,Shamakhy; Shemaka; Şamaxı,AZJ,54196,2025,
6997,Nakhchivan; Nakhchyvan; Nakhch’yvan; Naxçıvan,AZJ,175331,2025,
7661,Baku; Bakı,AZJ,1973054,2025,
10473,Heydar Aliyev International Airport; Heydər Əliyev Adına Beynəlxalq Hava Limanı; Mezhdunarodnyy Aeroport Baku,AZJ,,,1
11645,Mingechaur; Mingechevir; Mingəçevir,AZJ,129064,2025,
11674,Gandzha; Ganja; Gəncə,AZJ,399696,2025,
12434,Cəlilabad; Dzhalil'abad; Jalilabad,AZJ,69331,2025,
12926,Sumgayt; Sumqayit; Sumqayıt,AZJ,637053,2025,
11968,Cumilla; Kumillā,BAN,74332,2025,
15794,Gazipur; Gājīpur,BAN,84943,2025,
12423,Sunamganj; Sunāmgañj,BAN,248062,2025,
4162,Faridpur,BAN,326743,2025,
12010,Feni; Phenī,BAN,396626,2025,
10389,Dinajpur; Dinājpur,BAN,400029,2025,
15795,Tangail; Ṭāṅgāil,BAN,403296,2025,
7124,Kushtia; Kuṣṭiẏā,BAN,407149,2025,
10035,Barishal; Bariśāl,BAN,432532,2025,
2843,Jashore; Yaśor,BAN,552981,2025,
15781,Rangpur; Raṁpura,BAN,611287,2025,
10443,Baguṛā; Bogura,BAN,650822,2025,
15785,Maẏmansiṁh; Mymensingh,BAN,677660,2025,
7662,Chapai Nawabganj; Cāṁpāi Nabābgañj,BAN,785704,2025,
15782,Rajshahi; Rājśāhī,BAN,805560,2025,
11929,Narayanganj; Nārāẏaṇgañj,BAN,709381,2011,
15783,Khulna; Khulnā,BAN,1081072,2025,
15784,Sileṭa; Sylhet,BAN,1206965,2025,
15786,Caṭṭagrām; Chittagong,BAN,5175717,2025,
15792,Dhaka; Ḍhākā,BAN,37307160,2025,
15790,Hayarata Śāhjālāla Āntarjātika Bimānabandara; Hazrat Shahjalal International Airport,BAN,,,2
10254,Nassau,BHA,261235,2025,
13313,Al-Manāmah; Manama,BHR,1361833,2025,
8010,Thimphu,BHU,114551,2017,
3488,Eupen,BLG,18878,2011,
11407,Bastenaken; Bastogne,BLG,18224,2011,
14057,Waterloo,BLG,29666,2011,
6560,Bruges; Brugge,BLG,67047,2025,
9574,Genk,BLG,64986,2011,
