prov_id,names,owner,population
11599,Aqwa; Sokhumi; Sukhum; Sukhumi,ABZ,
11647,Gagra,ABZ,
3898,Andorra la Vella,ADR,
12904,Khankendi; Stepanakert; Xankəndi,AKH,
6900,Durrës,ALB,131865
9780,Shkodër,ALB,77144
9914,Elbasan,ALB,68429
11767,Vlorë,ALB,74501
13841,Tirana; Tirona,ALB,995789
1013,Aš-Šalif; Chlef,ALG,216910
1058,Tibissa; Tébessa,ALG,260482
1095,Adrar; Adrār,ALG,107335
1128,'Īn Wusāra; Aïn Oussera,ALG,147459
1141,Henšela; Khenchela,ALG,160444
1145,Al-Jazā'ir; Algiers,ALG,3316232
1160,Souk Ahras; Sūq Ahrās,ALG,222438
1958,Tindouf; Tindūf,ALG,
1967,Al-Aghwāṭ; Laghouat,ALG,235439
2049,Ghardaïa; Ġardāya,ALG,149916
4116,Tilimsān; Tlemcen,ALG,294082
4146,Al-Madiya; Médéa,ALG,156467
4970,Al-Wādī; El Oued,ALG,281360
5035,Ouargla; Warqalah,ALG,250308
7033,M'Sila; Āl-Msyla,ALG,201841
7065,Al-'Ulma; El Eulma,ALG,196881
7166,Bordj Bou Arréridj; Burğ Bū 'Urairīğ,ALG,209845
8077,'Īn Ṣalāḥ; Aïn Salah,ALG,
10045,Sa'īda; Saïda,ALG,191803
10731,Bešār; Béchar,ALG,200687
10749,Illizi; Ilyzy,ALG,
11923,Sidi Bel Abbès; Sīdī Bu Al-'Abbās,ALG,265431
11939,Tizi Ouzou; Tizi Wuzu,ALG,121426
12018,Al-Mašrya; Mécheria,ALG,112802
12034,Al-Ǧilfah; Djelfa,ALG,612877
12051,Skikda; Skykda,ALG,252926
12760,Tiaret; Tyāret,ALG,246774
13074,Al-Bayaḍ; El Bayadh,ALG,
15219,Tamanrasset; Tāmanrāssit,ALG,125555
15223,'In 'Amanās; In Amenas,ALG,
15224,Bordj Badji Mokhtar; Borǧ Bāǧy Moẖtār,ALG,
15231,Oran; Wahrān,ALG,1261238
15235,Algiers International Airport; Maṭār Al-Jazā'ir Al-Dawli,ALG,
15236,Al-Bulaydah; Blida,ALG,703326
15238,Batna; Bātna,ALG,377992
15239,Constantine; Qusanṭīnah,ALG,507697
15241,Annaba; Anāba,ALG,471639
15242,Siṭīf; Sétif,ALG,366338
4660,Kapan,ARM,
8155,Mezhdunarodnyy Aeroport Erevan; Zvartnots International Airport; Zvart’nots’ Odanavakayan,ARM,
12380,Vanadzor,ARM,
12441,Gyumri,ARM,84760
12906,Erevan; Yerevan,ARM,1027656
671,Lienz,ASA,
673,Innsbruck,ASA,144226
688,Salzburg,ASA,143452
704,St Pölten,ASA,
732,Freistadt,ASA,
3673,Klagenfurt am Wörthersee,ASA,80261
3700,Eisenstadt,ASA,
6552,Krems an der Donau,ASA,
6673,Villach,ASA,
6680,Dornbirn,ASA,
6687,Judenburg,ASA,
6690,Leoben,ASA,
6739,Liezen,ASA,
9661,Wiener Neustadt,ASA,
14440,Vienna; Wien,ASA,2056565
14443,Vienna Airport; Wien-Flughafen,ASA,
14444,Graz,ASA,306742
14447,Linz,ASA,243243
14448,Wels,ASA,54304
1410,Nhulunbuy,AUS,
1454,Gold Coast,AUS,279191
1472,Biloela,AUS,
1478,Townsville,AUS,
1514,Katherene,AUS,
1540,Geraldton,AUS,
1611,Lismore,AUS,
1667,Albury,AUS,
1759,Traralgon,AUS,
1773,Mount Gambier,AUS,
2114,Ballarat,AUS,67880
2116,Central Coast,AUS,
4441,Cairns,AUS,57591
4462,Mackay,AUS,
4478,Dubbo,AUS,
4481,Bundaberg,AUS,
4487,Airlie Beach - Cannonvale,AUS,
4632,Emerald,AUS,
4776,Bendigo,AUS,
5175,Kalgoorlie-Boulder,AUS,
5181,Devonport,AUS,
5207,Kununurra,AUS,
7450,Coffs Harbour,AUS,
7471,Tamworth,AUS,
7481,Subshine Coast,AUS,
7522,Hervey Bay,AUS,
7535,Nambour,AUS,
7538,Sydney Airport,AUS,
7564,Brisbane,AUS,1359105
7651,Rockhampton,AUS,
7755,Shepparton - Mooroopna,AUS,
7798,Melbourne,AUS,4010658
7811,Warrnambool,AUS,
7859,Canberra,AUS,
8130,Esperance,AUS,
8152,Karratha,AUS,
8165,Perth,AUS,1357382
8209,Broome,AUS,
8228,Bunbury,AUS,
8243,Albany,AUS,
8249,Mildura,AUS,85038
10430,Toowoomba,AUS,92941
10445,Warwick,AUS,
10455,Wagga Wagga,AUS,
10941,Newcastle,AUS,205366
10969,Darwin,AUS,
10977,Hobart,AUS,69906
11006,Wollongong,AUS,149057
12308,Gladstone,AUS,
12323,Carnarvon,AUS,
12406,Sydney,AUS,4375394
12424,Moranbah,AUS,
12451,Goondiwindi,AUS,
12645,Launceston,AUS,
12934,Geelong,AUS,165825
12993,Melbourne Airport,AUS,
13169,Perth International Airport,AUS,
15416,Adelaide,AUS,938328
15419,Port Pirie,AUS,
15420,Whyalla,AUS,
15422,Alice Springs,AUS,
15432,Mount Isa,AUS,
1536,Shirvan; Şirvan,AZJ,100905
1610,Agdzhabedi; Agjabedi; Ağcabədi,AZJ,54710
2186,Gazakh; Qazax,AZJ,
4458,Khachmaz; Xaçmaz,AZJ,66906
4614,Shamakhy; Shemaka; Şamaxı,AZJ,54196
6997,Nakhchivan; Nakhchyvan; Nakhch’yvan; Naxçıvan,AZJ,175331
7661,Baku; Bakı,AZJ,1973054
10473,Heydar Aliyev International Airport; Heydər Əliyev Adına Beynəlxalq Hava Limanı; Mezhdunarodnyy Aeroport Baku,AZJ,
11645,Mingechaur; Mingechevir; Mingəçevir,AZJ,129064
11674,Gandzha; Ganja; Gəncə,AZJ,399696
12434,Cəlilabad; Dzhalil'abad; Jalilabad,AZJ,69331
12926,Sumgayt; Sumqayit; Sumqayıt,AZJ,637053
2843,Jashore; Yaśor,BAN,552981
4162,Faridpur,BAN,326743
7124,Kushtia; Kuṣṭiẏā,BAN,407149
7662,Chapai Nawabganj; Cāṁpāi Nabābgañj,BAN,785704
10035,Barishal; Bariśāl,BAN,432532
10389,Dinajpur; Dinājpur,BAN,400029
10443,Baguṛā; Bogura,BAN,650822
11929,Narayanganj; Nārāẏaṇgañj,BAN,
11968,Cumilla; Kumillā,BAN,
12010,Feni; Phenī,BAN,396626
12423,Sunamganj; Sunāmgañj,BAN,248062
15781,Rangpur; Raṁpura,BAN,611287
15782,Rajshahi; Rājśāhī,BAN,805560
15783,Khulna; Khulnā,BAN,1081072
15784,Sileṭa; Sylhet,BAN,1206965
15785,Maẏmansiṁh; Mymensingh,BAN,677660
15786,Caṭṭagrām; Chittagong,BAN,
15790,Hayarata Śāhjālāla Āntarjātika Bimānabandara; Hazrat Shahjalal International Airport,BAN,
15792,Dhaka; Ḍhākā,BAN,37307160
15794,Gazipur; Gājīpur,BAN,84943
15795,Tangail; Ṭāṅgāil,BAN,403296
10254,Nassau,BHA,261235
13313,Al-Manāmah; Manama,BHR,1361833
8010,Thimphu,BHU,
516,Brussel; Brussels; Bruxelles,BLG,1468754
3488,Eupen,BLG,
6560,Bruges; Brugge,BLG,67047
6598,Saint-Nicholas; Sint-Niklaas,BLG,
9536,Bergen; Mons,BLG,
9574,Genk,BLG,
11407,Bastenaken; Bastogne,BLG,
13081,Charleroi,BLG,222465
14056,Aéroport de Bruxelles; Brussels Airport; Luchthaven Brussel,BLG,
14057,Waterloo,BLG,
14058,Antwerp; Antwerpen; Anvers,BLG,767652
14061,Gand; Gent; Ghent,BLG,250379
14064,Liège; Luik; Lüttich,BLG,373662
233,Pastavy; Postavy,BLR,
277,Maladzyechna; Molodechno,BLR,
289,Krichev; Krychaw,BLR,
294,Barysaw; Borisov,BLR,85274
318,Vawkavysk; Volkovytsk,BLR,
360,Mar'ina Gorka; Maryina Horka,BLR,
386,Asipovichy; Osipovichi,BLR,
560,Pinsk,BLR,
3293,Svetlogorsk; Svietlahorsk,BLR,
3309,Slonim,BLR,
3350,Babruysk; Bobruysk,BLR,177154
3378,Bychaŭ; Bykhov,BLR,
3392,Brest,BLR,397637
3556,Luninets,BLR,
6232,Mazyr; Mozyr',BLR,
6249,Polatsk; Polotsk,BLR,
6306,Ivatsevichi; Ivatsevichy,BLR,
6319,Rechitsa; Rečyca,BLR,
6326,Navapolatsk; Novopolotsk,BLR,
6354,Gorki; Horki,BLR,
6373,Zhlobin; Žlobin,BLR,
6413,Lida,BLR,
9288,Gomel'; Homieĺ,BLR,571257
9304,Baranavichy; Baranovichi,BLR,179059
9341,Glybokoye; Hlybokaye,BLR,
9342,Dobrush,BLR,
9359,Navahrudak; Novogrudok,BLR,
11216,Dzerzhinsk; Dzyarzhynsk,BLR,
11220,Orsha,BLR,70876
11230,Kastsyukovichy; Kostyukovichi,BLR,
11241,Vitebsk,BLR,382195
11313,Salihorsk; Soligorsk,BLR,
11370,Minsk,BLR,2093512
11391,Smarhoń; Smorgon',BLR,
13206,Grodno; Hrodna,BLR,395330
14146,Slutsk,BLR,
14147,Nacyjanaĺny Aeraport Minsk; National Airport Minsk; Natsional'nyy Aeroport Minsk,BLR,
14153,Mogilev; Mogilyov,BLR,399369
2077,Belize City,BLZ,76331
