prov_id,names,owner,population,year
14,Sandefjord,NWY,67062,2026
17,Gnesen; Gniezno,POL,59444,2025
21,Orkanger,NWY,,
22,Hammerfest,NWY,,
27,Fagernes,NWY,,
32,Nokia,FIN,36571,2025
35,Västerås,SWE,104147,2025
45,Yurya,SOV,,
46,Östersund,SWE,55493,2023
49,Bollnäs,SWE,13918,2023
53,Stavanger,NWY,205533,2025
64,Vadsø,NWY,5808,2026
66,Kokkola,FIN,,
67,Lahti,FIN,57174,2025
68,Rochester,USA,,
72,Konosha,SOV,,
73,Shar'ya; Sharya,SOV,,
75,Vozhega,SOV,,
83,Haapsalu,EST,9338,2026
85,Bezhetsk,SOV,,
91,Finnsnes,NWY,,
110,Valday,SOV,,
122,Alver,NWY,,
123,Gainy,SOV,,
124,Rovaniemi,FIN,66191,2025
125,Ljusdal,SWE,,
126,Kingisepp,SOV,48355,2025
130,Härnösand,SWE,18236,2023
144,Ringerike,NWY,,
155,Segezha,SOV,,
156,Leksand,SWE,,
164,Buy,SOV,,
166,Vytegra,SOV,,
169,Pori,FIN,83010,2025
179,Kongsvinger,NWY,,
182,Örnsköldsvik,SWE,33399,2023
185,Kuressaare,EST,12729,2026
186,Kotlas,SOV,55614,2025
192,Narvik,NWY,21647,2026
201,Pajala,SWE,,
204,Turku,FIN,104248,2025
206,Chaykovsky,SOV,,
214,Gus-Khrustalny,SOV,,
231,Uglich,SOV,,
232,Morshansk,SOV,,
233,Pastavy; Postavy,BLR,,
238,Novgorod-Severskiy; Novhorod-Sivers'kyy; Novhorod-Siverskyi,UKR,,
242,Växjö,SWE,74052,2023
243,Hohensalza; Inowrocław,POL,65095,2025
252,Rostov,SOV,27050,2025
257,Kuznetsk,SOV,68549,2025
260,Arsk,SOV,19968,2025
265,Bauska,LAT,9701,2025
266,Giżycko; Lötzen,POL,26482,2025
272,Kirovo-Chepetsk,SOV,54225,2025
277,Maladzyechna; Molodechno,BLR,,
286,Inza,SOV,15737,2025
289,Krichev; Krychaw,BLR,,
291,Birsk,SOV,44611,2025
294,Barysaw; Borisov,BLR,85274,2025
295,Trollhättan,SWE,50069,2023
299,Kalmar,SWE,43462,2023
300,Belyov,SOV,,
303,Tullamore,IRE,,
305,Uva,SOV,18400,2025
309,Oldenburg,GER,147302,2025
310,Daugavpils,LAT,51342,2025
315,Starodub,SOV,,
317,Flensburg,GER,75426,2025
318,Vawkavysk; Volkovytsk,BLR,,
324,Saransk,SOV,298291,2025
326,Vol'sk; Volsk,SOV,,
327,Trakai,LIT,5659,2026
328,Livny,SOV,50685,2025
334,Chojnice; Konitz,POL,38109,2025
335,Gagarin,SOV,25051,2025
337,Letterkenny,IRE,17550,2022
340,Tambov,SOV,310658,2025
341,Rēzekne,LAT,26425,2025
348,Sovetsk; Tilsit; Tilžė; Tylża,SOV,,
360,Mar'ina Gorka; Maryina Horka,BLR,,
362,Danzig; Gdańsk,POL,398019,2025
363,Nybro,SWE,13584,2023
370,Glazov,SOV,82436,2025
371,Unecha,SOV,,
373,Saint-Pierre,FRA,,
376,Zubova Polyana,SOV,,
383,Gothenberg,SWE,599675,2025
385,Londonderry,GBR,,
386,Asipovichy; Osipovichi,BLR,,
388,Piła; Schneidemühl,POL,68762,2025
391,Amsterdam,NRD,1223407,2025
394,Hjørring,DMK,25908,2025
398,Pochep,SOV,,
399,Esbjerg,DMK,71554,2025
400,Augustów,POL,28518,2025
402,Siedlce,POL,75113,2025
408,Visby,SWE,26305,2023
414,Soroca; Soroki,MLD,21135,2024
417,Neusandez; Nowy Sącz,POL,71561,2025
421,Šumperk,CZE,24735,2024
425,Wernigerode,GER,,
429,Gulyaipole; Hulyaipole,UKR,,
437,Kalach,SOV,,
442,Tarnau; Tarnów,POL,71927,2025
444,Schwiebus; Świebodzin,POL,20480,2025
445,Hradec Králové,CZE,68044,2025
457,Shchigry,SOV,,
463,Romny,UKR,37765,2022
476,Zhmerynka,UKR,,
479,Kandrzin-Cosel; Kędzierzyn-Koźle,POL,53140,2025
485,Dieppe,FRA,,
486,Pavlograd; Pavlohrad,UKR,76283,2025
487,Mikhaylovka,SOV,,
488,Smela; Smila,UKR,57144,2025
503,Angers,FRA,162720,2025
504,Belaya Tserkov'; Bila Tserkva,UKR,185038,2025
507,Crawley,GBR,106964,2025
509,Morozovsk,SOV,23753,2025
511,Poltava,UKR,230006,2025
516,Brussel; Brussels; Bruxelles,BLG,1468754,2025
517,Qingyang; Qìngyáng,PRC,56809,2025
525,Kiev; Kyiv,UKR,2575199,2025
528,Eugene,USA,241885,2025
531,Longnan; Lǒngnán,PRC,123692,2025
534,Stary Oskol,SOV,100351,2025
535,Sarny,UKR,28626,2022
536,Sheptitskiy; Sheptyts'kyy; Sheptytskyi; Szeptycki,UKR,,
538,Naumburg,GER,,
540,Plymouth,GBR,252928,2025
541,Nitra,SLO,55299,2025
542,Quipmer,FRA,,
551,Sézanne,FRA,,
552,Glogau; Głogów,POL,60605,2025
553,Alençon,FRA,,
554,Miyaly; Mïyalı,KAZ,,
556,Dingxi; Dìngxī,PRC,110323,2025
557,Znojmo,CZE,34172,2024
559,Lubny,UKR,44089,2022
560,Pinsk,BLR,124613,2023
562,Ostrowiec Świętokrzyski,POL,60246,2025
564,Kassel,GER,238931,2025
565,Ungen'; Ungheni,MLD,26457,2024
568,Skadovs'k; Skadovsk,UKR,,
569,Třebíč,CZE,34530,2024
570,Svatove; Svatoveo,UKR,,
574,Kazanka,UKR,,
577,Chernivtsi; Chernovtsy,UKR,225829,2025
580,Kurchatov,SOV,,
581,Poprad,SLO,48034,2025
584,Wieluń,POL,19771,2025
586,Weiden in der Oberpfalz,GER,,
589,Frankfurt Airport,GER,,
592,Võru,EST,11813,2026
595,Angoulême,FRA,54289,2025
596,Maribor,SLV,80272,2025
603,Verona,ITA,216582,2025
606,Bijeljina,BSH,41121,2013
607,Albany,USA,99833,2025
610,Eureka,USA,14027,2020
620,Limoges,FRA,105730,2025
628,Udine,ITA,101454,2025
634,Fredericton,CAN,64614,2021
638,Athens,USA,12050,2020
642,Kul'sary; Kulsary; Qūlsary,KAZ,,
648,Chalon-sur-Saône,FRA,,
652,Ağrı,TUR,145032,2025
657,Mangalia,ROM,31950,2021
662,Lugoj,ROM,35450,2021
663,Zurich; Zurigo; Zürich,SWI,689208,2025
664,Dalnerechensk,SOV,,
666,Shali,SOV,,
667,Nevers,FRA,,
671,Lienz,ASA,12105,2026
673,Innsbruck,ASA,144226,2025
678,Mulhouse; Mülhausen,FRA,187082,2025
686,Sopron,HUN,55594,2025
687,Tulcea,ROM,65624,2021
688,Salzburg,ASA,143452,2025
689,Toledo,USA,194259,2025
701,Székesfehérvár,HUN,75063,2025
703,Rhinelander,USA,9738,2020
704,St Pölten,ASA,,
705,Yevpatoriya,UKR,90934,2025
714,Cherkessk,SOV,137895,2025
719,Gelendzhik,SOV,,
723,Vaslui,ROM,63035,2021
724,Villa Real,POR,,
726,León,SPA,145844,2025
728,Terekli-Mekteb,SOV,,
732,Freistadt,ASA,,
735,Armavir,SOV,178118,2025
743,Bayonne,FRA,89012,2025
744,Suceava,ROM,89152,2025
746,Satu Mare; Szatmárnémeti,ROM,79655,2025
749,Niagra Falls,CAN,75875,2025
750,Yeysk,SOV,58632,2025
758,Santiago de Compostela,SPA,100842,2025
759,Yashkul; Yashkul',SOV,,
762,Valence,FRA,71751,2025
768,Redding,USA,120602,2020
769,Brioude,FRA,,
772,Zugdidi,GEO,46955,2024
773,Cremona,ITA,50804,2025
775,Sal'sk; Salsk,SOV,57098,2025
782,Ravenna,ITA,90309,2025
784,Isparta,TUR,226042,2025
789,Trabzon,TUR,328138,2025
793,Knezha,BUL,,
804,Kırıkkale,TUR,186960,2022
806,Osmaniye,TUR,297348,2025
813,Calatayud,SPA,,
814,Pingquan; Píngquán,PRC,94823,2025
818,Slatina,ROM,57761,2025
819,Naples; Napoli,ITA,2885079,2025
832,Albacete,SPA,137538,2025
848,Wonsan; Wŏnsan,DPK,370729,2025
854,Gerona; Girona,SPA,122502,2025
855,Okha,SOV,,
856,Tavşanlı,TUR,61528,2025
857,Soria,SPA,,
858,Toledo,SPA,87074,2025
860,Montgomery,USA,117537,2025
869,Aksaray,TUR,144904,2025
871,Teruel,SPA,,
872,Lleida; Lérida,SPA,138521,2025
876,Kovancılar,TUR,24764,2022
878,Kǎrdzhali,BUL,,
880,Butler,USA,37954,2020
881,Luanping; Luánpíng,PRC,,
882,Erie,USA,111537,2025
883,Foggia,ITA,126645,2025
885,Burgos,SPA,151942,2025
893,Smolyan,BUL,,
900,Zunhua; Zūnhuà,PRC,169536,2025
901,,SYR,,
904,Ereğli,TUR,,
907,Kumanovo,NMA,70031,2025
910,Siena,ITA,53180,2026
916,Changtu; Chāngtú,PRC,89349,2025
918,Zamora,SPA,59857,2025
924,Santarem,POR,29790,2021
928,Manisa,TUR,406110,2025
929,Condom,FRA,,
930,Changling; Chánglĭng,PRC,58658,2025
934,Chaoyang; Cháoyáng,PRC,448412,2025
935,Pernik,BUL,65317,2025
939,Ávila,SPA,59480,2025
944,Yanji; Yánjí,PRC,426296,2025
950,Linares,SPA,55689,2025
955,Salerno,ITA,128967,2025
962,Alicante,SPA,400711,2025
965,Vratsa,BUL,,
966,Kozani; Kozáni,GRC,42139,2021
967,Ancona,ITA,77488,2025
975,Giresun,TUR,121465,2025
976,Lamia; Lamía,GRC,47532,2021
981,Simav,TUR,26872,2022
986,San Luis Obispo,USA,56904,2020
989,Taourirt; Tāwrirt,MRC,,
1001,Baoying; Băoyīng,PRC,,
1004,Yuzhou; Yŭzhōu,PRC,245470,2025
1006,Changting; Chángtīng,PRC,119482,2025
1009,Ragusa,ITA,74122,2026
1013,Aš-Šalif; Chlef,ALG,216910,2025
1018,Qinzhou; Qīnzhōu,PRC,193678,2025
1029,Ganyu; Gànyú,PRC,194501,2025
1037,Sidi Bouzid; Sīdī Bū Zayd,TUN,58168,2025
1038,Nada; Nàdà,PRC,,
1046,Al-Kāf; Le Kef,TUN,50809,2025
1047,Guangzhou; Guăngzhōu,PRC,42987704,2025
1053,Yudu; Yúdū,PRC,223353,2025
1054,Chinju; Jinju,ROK,352403,2020
1056,Salamiyah; Salamiyya,SYR,69464,2025
1058,Tibissa; Tébessa,ALG,260482,2025
1060,Al Jaghbub; Al-Jaġhbūb,LYB,,
1061,Gandhidham; Gāndhīdhām,IND,307941,2025
1068,Al-Fayyūm; Faiyum,EGY,741406,2025
1069,Jinan; Jìnán,PRC,3824875,2025
1070,Qionghai; Qiónghǎi,PRC,146854,2025
1074,Dar'ā; Daraa,SYR,129915,2025
1075,Agartala; Āgaratalā,IND,721130,2025
1076,Xinyi; Xīnyí,PRC,197050,2025
1079,Khouribga; Khurībga,MRC,,
1081,Gumi; Kumi,ROK,416603,2020
1083,Anqing; Ānqìng,PRC,469919,2025
1084,Binzhou; Bīnzhōu,PRC,696958,2025
1086,Arīḥā; Jericho; Yericho,ISR,,
1089,Taixing; Tàixīng,PRC,466711,2025
1094,Fuan; Fú'ān,PRC,356776,2025
1095,Adrar; Adrār,ALG,107335,2025
1099,Maanshan; Mă'ānshān,PRC,1071589,2025
1100,Ch'ungju; Chungju,ROK,218412,2020
1102,Aṣ-Ṣawīra; Essaouira,MRC,,
1104,Longkou; Lóngkŏu,PRC,,
1109,Chalcis; Chalkís,GRC,,
1110,Nancheng; Nánchéng,PRC,137937,2025
1120,Shaoguan; Sháoguān,PRC,451567,2025
1121,Suining; Suīníng,PRC,,
1122,Manavgat,TUR,150381,2025
1125,Huangshan; Huángshān,PRC,372354,2025
1127,Ajdabiya; Ajdābiyā,LYB,91768,2025
1128,'Īn Wusāra; Aïn Oussera,ALG,147459,2025
1130,Tobruk; Ṭubruq,LYB,115429,2025
1131,Gaozhou; Gāozhōu,PRC,515770,2025
1132,Wilmington,USA,,
1137,Yuxian; Yùxiàn,PRC,86310,2025
1138,Shaowu; Shàowŭ,PRC,105235,2025
1139,Jiaozuo; Jiāozuò,PRC,723575,2025
1140,Tazirbu; Tāzirbū,LYB,6600,2006
1141,Henšela; Khenchela,ALG,160444,2025
1144,Surendranagar; Surēndranagara,IND,310315,2025
1145,Al-Jazā'ir; Algiers,ALG,3316232,2025
1146,Chuzhou; Chúzhōu,PRC,295742,2025
1149,Tripoli; Ṭarābulus,LYB,1248354,2025
1150,Dailan; Dàlián,PRC,3599519,2025
1152,Midelt,MRC,,
1153,Jingdezhen; Jĭngdézhèn,PRC,460993,2025
1155,B'īr al-'Abd; Bir al-Abd,EGY,27012,2023
1160,Souk Ahras; Sūq Ahrās,ALG,222438,2025
1161,Lingbi; Língbì,PRC,122748,2025
1162,Heyuan; Héyuán,PRC,466335,2025
1166,Minhou; Mĭnhòu,PRC,80161,2025
1168,Wenling; Wēnlĭng,PRC,339655,2025
1169,Weixian; Wèixiàn,PRC,,
1175,Hualien; Huālián,ROC,137533,2025
1177,Cheju; Jeju,ROK,492306,2020
1187,Yunfu; Yúnfú,PRC,207901,2025
1190,Bhuj,IND,186749,2025
1195,Yongkang; Yŏngkāng,PRC,373295,2025
1203,Xinzhou; Xīnzhōu,PRC,229257,2025
1205,Agrinio; Agrínion,GRC,,
1207,Banī Mallāl; Beni Mellal,MRC,,
1239,Balkhash; Balqaş,KAZ,60602,2025
1262,Lethbridge,CAN,63048,2025
1275,Khammam; Khammaṁ,IND,339172,2025
1294,Petukhovo,SOV,,
1305,Sterlitamak,SOV,240965,2025
1317,Nalgonda; Nalgoṁḍa,IND,174421,2025
1323,Kamloops,CAN,92442,2021
1336,Krasnokamsk,SOV,47051,2025
1344,Chittur; Cittūru,IND,,
1352,Topeka,USA,148956,2020
1359,Bidar; Bīdar,IND,303956,2025
1369,Prokop'yevsk; Prokopyevsk,SOV,,
1371,Shalkar; Şalqar,KAZ,,
1378,Kumertau,SOV,56748,2025
1380,Chernushka,SOV,,
1381,Tañcāvūr; Thanjavur,IND,437549,2025
1387,Yalutorovsk,SOV,,
1399,Severo-Kurilsk,SOV,,
1409,Dindigul; Tiṇṭukkal,IND,406544,2025
1410,Nhulunbuy,AUS,,
1418,Kokshetau; Kökşetau,KAZ,142171,2025
1430,Ongole; Oṁgōlu,IND,244578,2025
1450,Akhty,SOV,,
1454,Gold Coast,AUS,279191,2025
