problem,pixels,x,y
sea with a state,151,730,1639
sea with a state,51,5304,1548
sea with a state,34,1011,1669
sea with a state,32,110,1539
sea with a state,29,45,1727
sea with a state,29,5198,1579
sea with a state,26,5012,977
sea with a state,25,67,1698
sea with a state,24,47,1604
sea with a state,24,5016,1005
sea with a state,21,12,1621
sea with a state,20,338,1688
sea with a state,20,5395,1782
sea with a state,19,4851,891
sea with a state,18,160,1710
sea with a state,18,48,1732
sea with a state,14,4429,1380
sea with a state,14,4738,1001
sea with a state,12,4747,998
sea with a state,12,4759,994
sea with a state,11,5187,1567
sea with a state,11,5305,1541
sea with a state,11,4842,898
sea with a state,10,5299,1546
sea with a state,9,5289,1542
sea with a state,9,5220,1479
sea with a state,8,5230,1493
sea with a state,8,5210,1579
sea with a state,8,1839,891
sea with a state,8,4813,949
sea with a state,7,5225,1487
sea with a state,5,4837,897
sea with a state,5,1822,897
sea with a state,5,4691,1312
sea with a state,4,5243,1507
sea with a state,4,5196,1576
sea with a state,4,4725,1000
sea with a state,4,1726,980
sea with a state,4,4784,968
sea with a state,4,5176,1561
sea with a state,4,4803,956
sea with a state,3,4835,934
sea with a state,3,5237,1499
sea with a state,3,4682,1315
sea with a state,3,4674,1323
sea with a state,3,4670,1323
sea with a state,2,4824,935
sea with a state,2,5180,1563
sea with a state,2,4423,1380
sea with a state,2,5234,1515
sea with a state,2,4677,1318
sea with a state,2,4703,1295
sea with a state,2,4691,1310
sea with a state,2,5318,1536
sea with a state,2,1842,902
sea with a state,2,4699,1305
sea with a state,2,5237,1511
sea with a state,2,1740,984
sea with a state,1,5011,677
sea with a state,1,5229,1492
sea with a state,1,1841,901
sea with a state,1,4823,937
sea with a state,1,4816,949
sea with a state,1,4792,964
sea with a state,1,1741,982
sea with a state,1,1728,983
sea with a state,1,1732,983
sea with a state,1,1729,984
sea with a state,1,1733,984
sea with a state,1,1731,985
sea with a state,1,1734,985
sea with a state,1,1598,1111
sea with a state,1,4712,1294
sea with a state,1,4714,1295
sea with a state,1,4687,1299
sea with a state,1,4686,1301
sea with a state,1,4694,1304
sea with a state,1,4693,1305
sea with a state,1,4701,1306
sea with a state,1,4696,1307
sea with a state,1,4683,1318
sea with a state,1,4675,1320
sea with a state,1,5228,1491
sea with a state,1,5236,1498
sea with a state,1,4698,1307
land with no state,633,5275,1541
land with no state,438,4808,953
land with no state,278,1387,1693
land with no state,234,5212,1472
land with no state,152,1050,1727
land with no state,44,1713,973
land with no state,36,4834,927
land with no state,35,4856,891
land with no state,29,4842,902
land with no state,19,1710,973
land with no state,10,4781,960
land with no state,5,4803,962
land with no state,4,4818,945
land with no state,4,4818,940
land with no state,4,4829,934
land with no state,3,4813,947
land with no state,2,4681,1319
land with no state,2,4821,944
land with no state,1,4708,1297
land with no state,1,4712,1298
land with no state,1,4697,1306
land with no state,1,4694,1307
land with no state,1,1742,985
land with no state,1,4678,1320
land with no state,1,4827,937
land with no state,1,4826,938
land with no state,1,4820,942
land with no state,1,4711,1293
lake with no state,26,3347,1399
lake with no state,2,4103,36
