Region name,Total Area,Water Area,,Land Area
Belgorod Region,2713.4,25.1,,26883
Bryansk Region,3485.7,31.6,,34541
Vladimir Region,2908.4,32.7,,28757
Voronezh Region,5221.6,64,,51576
Ivanovo Region,2143.7,65,,20787
Kaluga Region,2977.7,21,,29567
Kostroma Region,6021.1,97,,59241
Kursk Region,2999.7,38.4,,29613
Lipetsk Region,2404.7,27,,23777
Moscow Region,4432.9,90.2,,43427
Oryol Region,2465.2,14.4,,24508
Ryazan Region,3960.5,67.2,,38933
Smolensk Region,4977.9,53.6,,49243
Tambov Region,3446.2,42.8,,34034
Tver Region,8420.1,248.1,,81720
Tula Region,2567.9,22.8,,25451
Yaroslavl Region,3617.7,386.8,,32309
Moscow,256.1,0.2,,2559
Republic of Karelia,18052,4188.2,,138638
Komi Republic,41677.4,641.5,,410359
Arkhangelsk Region,41310.3,811.5,,404988
Vologda Region,14452.7,658.6,,137941
Kaliningrad Region,1512.5,200.3,,13122
Leningrad Region,8390.8,1266.8,,71240
Murmansk Region,14490.2,1192,,132982
Novgorod Region,5450.1,174.7,,52754
Pskov Region,5539.9,375.3,,51646
St. Petersburg,140.3,6.5,,1338
Nenets a.o.,17681,1000.5,,166805
Republic of Adygea,779.2,53.5,,7257
Republic of Kalmykia,7473.1,175.6,,72975
Republic of Crimea,2608.1,211.8,,23963
Krasnodar Territory,7548.5,385.5,,71630
Astrakhan Region,4902.4,684.6,,42178
Volgograd Region,11287.7,489.8,,107979
Rostov Region,10096.7,346.1,,97506
Sevastopol,86.4,0.9,,855
Republic of Dagestan,5027,176.9,,48501
Republic of Ingushetia,362.8,1.7,,3611
Kabardino-Balkarian Republic,1247,15.5,,12315
Karachay-Cherkess Republic,1427.7,22.5,,14052
Republic of North Ossetia – Alania,798.7,11.5,,7872
Chechen Republic,1564.7,28.6,,15361
Stavropol Territory,6616,127,,64890
Republic of Bashkortostan,14294.7,149.9,,141448
Republic of Mari El,2337.5,85,,22525
Republic of Mordovia,2612.8,20.8,,25920
Republic of Tatarstan,6784.7,451.8,,63329
Udmurt Republic,4206.1,53.8,,41523
Chuvash Republic ,1834.3,48.1,,17862
Perm Krai,16023.6,399.6,,156240
Kirov region,12037.4,118.1,,119193
Nizhny Novgorod Region,7662.4,162.7,,74997
Orenburg Region,12370.2,111.3,,122589
Penza region,4335.2,42.2,,42930
Samara Region,5356.5,226,,51305
Saratov Region,10124,357.9,,97661
Ulyanovsk region,3718.1,228.5,,34896
Kurgan Region,7148.8,318.7,,68301
Sverdlovsk Region,19430.7,263.7,,191670
Tyumen Region,16012.2,508.5,,155037
Chelyabinsk Region,8852.9,275.9,,85770
Khanty-Mansiysk Autonomous Okrug,53480.1,3185.4,,502947
Yamalo-Nenets a.o.,76925,13319.9,,636051
Altai Republic,9290.3,86.3,,92040
Republic of Buryatia,35133.4,2409,,327244
Republic of Tuva,16860.4,228.1,,166323
Republic of Khakassia,6156.9,112.2,,60447
Altai Territory,16799.6,442.6,,163570
Trans-Baikal Territory,43189.2,318.7,,428705
Krasnoyarsk Territory,236679.7,9221.5,,2274582
Irkutsk Region,77484.6,2639,,748456
Kemerovo Region,9572.5,91.7,,94808
Novosibirsk Region,17775.6,766.5,,170091
Omsk Region,14114,289.8,,138242
Tomsk Region,31439.1,608.3,,308308
Republic of Sakha (Yakutia),308352.3,13087.5,,2952648
Kamchatka Territory,46427.5,844.5,,455830
Primorsky Krai,16467.3,424.6,,160427
Khabarovsk Krai,78763.3,1476.3,,772870
Amur Region,36190.8,1151,,350398
Magadan Region,46246.4,477.4,,457690
Sakhalin Region,8710.1,233.2,,84769
Jewish author. region.,3627.1,35.3,,35918
Chukotsky a.o.,72148.1,2442.7,,697054
